price_response_feature_id,company_id,ticker,event_type,event_id,event_effective_at,event_effective_session,reaction_session,reaction_open_at
9,10,AMZN,CATALYST,46,2026-08-07T21:00:38+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
10,11,ANET,CATALYST,80,2026-08-07T18:45:02+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
11,13,APH,CATALYST,95,2026-08-07T16:51:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
15,19,AVGO,CATALYST,109,2026-08-07T21:00:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
17,21,AWR,CATALYST,143,2026-08-07T18:12:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
18,24,BEN,CATALYST,147,2026-08-06T20:00:00+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
21,28,BUSE,CATALYST,153,2026-08-07T17:45:03+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
23,31,CBOE,CATALYST,156,2026-08-06T18:45:02+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
24,34,CGNX,CATALYST,158,2026-08-07T19:28:50+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
26,36,CLBK,CATALYST,167,2026-08-06T20:55:47+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
29,41,COHR,CATALYST,181,2026-08-07T21:40:02+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
30,43,COP,CATALYST,196,2026-08-07T21:02:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
31,44,CPAY,CATALYST,225,2026-08-07T18:07:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
34,47,CRDO,CATALYST,235,2026-08-07T17:11:55+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
35,48,CSCO,CATALYST,246,2026-08-07T21:00:38+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
37,53,DAL,CATALYST,263,2026-08-07T16:22:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
39,57,DIOD,CATALYST,277,2026-08-07T16:14:47+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
41,59,EBAY,CATALYST,288,2026-08-07T20:30:02+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
42,61,EME,CATALYST,297,2026-08-07T17:45:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
43,62,ENSG,CATALYST,304,2026-08-06T17:16:00+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
44,64,ET,CATALYST,305,2026-08-07T18:59:00+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
46,66,EW,CATALYST,321,2026-08-06T17:41:00+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
47,72,FN,CATALYST,323,2026-08-06T18:14:42+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
48,74,FSLR,CATALYST,325,2026-08-07T20:16:32+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
49,75,FSUN,CATALYST,334,2026-08-06T18:31:00+02:00,2026-08-06,2026-08-06,2026-08-06T09:30:00-04:00
50,76,FTNT,CATALYST,337,2026-08-07T19:19:58+02:00,2026-08-07,2026-08-07,2026-08-07T09:30:00-04:00
