record_type,ticker,original_snapshot_id,replay_snapshot_id,original_rank,replay_rank,rank_movement,original_score,replay_score,score_delta,original_coverage,replay_coverage,original_posture,replay_posture,original_confidence,replay_confidence,original_event_risk,replay_event_risk,original_evidence_hash,replay_evidence_hash,original_revision_magnitude,replay_revision_magnitude,original_revision_breadth,replay_revision_breadth,original_revision_acceleration,replay_revision_acceleration,original_surprise_trend,replay_surprise_trend,original_guidance,replay_guidance,original_catalysts,replay_catalysts,original_price_response,replay_price_response,metric,period,window_days,old_feature_id,replay_feature_id,old_pct_change,old_lineage_reproduced_pct_change,replay_pct_change,old_net_breadth,replay_net_breadth,old_acceleration,replay_acceleration,old_selected_evidence_ids,corrected_evidence_ids,old_source_observation_ids,corrected_source_observation_ids,old_current_snapshot_id,old_baseline_snapshot_id,corrected_current_snapshot_id,corrected_baseline_snapshot_id,current_value,baseline_value,old_comparison_mode,comparison_mode,reason
SNAPSHOT,AEIS,2970,3335,4,4,0,9.423088214285714,9.423088214285714,0.0,70.0,70.0,Positive,Positive,Normal,Normal,0.0,0.0,db405691a0a6911d459d68457bc6fa5d7b185b4b3647d45eb889d1f4f81e72a1,79506a17afc01364af4ebe1ec4fc0d1e924bf2902823b2c43bc7a94d875da3df,10.0,10.0,10.0,10.0,10.0,10.0,7.807745000000001,7.807745000000001,,,,,8.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPSHOT,AGNC,2865,3336,165,165,0,2.6445191666666665,2.6445191666666665,0.0,70.0,70.0,Deteriorating,Deteriorating,Normal,Normal,0.0,0.0,830db806183dfb2ab9596c586c262d5a6a384bceda64db228502e3936bfd77a1,84fe93498c694848214210943670f8326c66db3b50578cdb13a9210988485bbc,0.3606256666666667,0.3606256666666667,6.70238,6.70238,5.3065,5.3065,0.0,0.0,,,,,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPSHOT,AIR,2977,3337,98,98,0,4.747650803571429,4.747650803571429,0.0,70.0,70.0,Mixed,Mixed,Normal,Normal,0.0,0.0,b1acf7880845cf952d1be7a492e9f479459c0c46a0ca490c848905a3a37c138c,b93b296c63d8ef370670468fa5e2da66121aed97a7207d224bfdb0fd2e0f9579,1.2930545,1.2930545,7.91666625,7.91666625,5.79819,5.79819,7.05182,7.05182,,,,,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPSHOT,AIZ,2908,3338,55,55,0,6.084049487179487,6.084049487179487,0.0,65.0,65.0,Improving,Improving,Normal,Normal,0.0,0.0,ae8151e5deeeeb3edc0dae3b1be5e8f62ed8109f3ec334886283e6cc8fc80ed2,f52b3887214550b83677077dbe8307cd449205e5e1eeafbb5949bf173cd3ac1f,2.071212666666667,2.071212666666667,10.0,10.0,6.48812,6.48812,8.586780000000001,8.586780000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPSHOT,ALSN,2924,3339,138,138,0,3.720879166666667,3.720879166666667,0.0,70.0,70.0,Mixed,Mixed,Normal,Normal,0.0,0.0,ff6802a18488f12cc01e8964c94cad61df148378a4e8e0b112bdb222fc7ee4c9,1a22517f39cacce13e3a21b65f68dbf4b44489652791debd133a50948074bfe1,0.8803486666666668,0.8803486666666668,5.0,5.0,4.3890025,4.3890025,5.13752,5.13752,,,,,8.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPSHOT,AME,2939,3340,77,77,0,5.288722559523809,5.288722559523809,0.0,70.0,70.0,Improving,Improving,Normal,Normal,0.0,0.0,62343e6744923f80fee864104bf37440a99d7187ef252226c628e77133b06d9a,dbd17a59a05cd187266469c83c7204fc5e25ca7753968d11ba42f5ebe1bdb5da,1.8672594166666665,1.8672594166666665,9.166666249999999,9.166666249999999,7.3751175,7.3751175,5.985195,5.985195,,,,,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPSHOT,AMG,2841,3341,31,31,0,7.309077470238095,7.309077470238095,0.0,70.0,70.0,Positive,Positive,Normal,Normal,0.0,0.0,3f36b8468b65e844da1365ec46457407b5e33774601ad96d72e33bdec8411f09,d99d724883e46b9bfcffd16293757310af237f580da8185ed34e706f4c33458c,6.686159916666667,6.686159916666667,10.0,10.0,8.80546,8.80546,5.928455,5.928455,,,,,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPSHOT,AMN,2807,3342,22,22,0,7.9487179807692305,7.9487179807692305,0.0,65.0,65.0,Positive,Positive,Normal,Normal,0.0,0.0,2c9f6030343f59a1ebaccf84ed15cd51c255791978b9176d2b78bc01573ac2bf,a0722130e153687e27b0a6d9f0ca18873fb85fe941a0b13292fa93e3000a09e2,10.0,10.0,1.1111112500000004,1.1111112500000004,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPSHOT,AMZN,2935,3343,28,28,0,7.449348493589744,7.449348493589744,0.0,65.0,65.0,Positive,Positive,Normal,Normal,0.0,0.0,a436e0a435e266562b6f50ae990200f0faf1c06055b2858009f83936c6675026,90af8ea37b85a2906ac3130f829b555544c1ecfb434e86b43b57aa8bb37b0ffd,8.880522333333333,8.880522333333333,4.9715912499999995,4.9715912499999995,3.9687425000000003,3.9687425000000003,9.86222,9.86222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAPSHOT,APG,2914,3344,91,91,0,4.895892083333333,4.895892083333333,0.0,70.0,70.0,Mixed,Mixed,Normal,Normal,0.0,0.0,d252d9270882fdaf6f5fcf7f4193dfa10b307803c8c7fb2e6e4c5f69843dea88,e511291e52fd8e59cd26ad7ac359630b9f1e8d2d995f05b34b92b3511609453d,1.3947148333333335,1.3947148333333335,9.0,9.0,6.05406,6.05406,5.820265,5.820265,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
