ticker,snapshot_id,company_id,as_of_session,cutoff_at,eodhd_evidence_count,sec_evidence_count,available_components,missing_components,component_coverage,independently_calculated_coverage,stored_ceri_score,recalculated_ceri_score,stored_event_risk,recalculated_event_risk,confidence,confidence_coverage_pct,rating,stored_evidence_hash,reproduced_evidence_hash,reconstruction_match,selected_guidance_ids,change_events,alerts,anomaly_flags
AEIS,2018,2,2026-08-13,2026-08-13 19:12:51.330758+02:00,10,600,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,99ff1dac32a732bd8ecd5c4c6cb8d973e63a24db67531714030c433bd0fcf6ef,99ff1dac32a732bd8ecd5c4c6cb8d973e63a24db67531714030c433bd0fcf6ef,True,[],1,0,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
AGNC,2146,4,2026-08-13,2026-08-13 19:12:51.330758+02:00,13,571,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,bbca1b2e87418801aa7e7f43d3edde27b154bc85015c559b6db24cb716dd3c2b,bbca1b2e87418801aa7e7f43d3edde27b154bc85015c559b6db24cb716dd3c2b,True,[],1,0,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
AIR,2041,6,2026-08-13,2026-08-13 19:12:51.330758+02:00,10,218,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,f83f47aa15e306e3d8e9c9e8af7784caedfce92a86676066b4a63f84b8c24a6e,f83f47aa15e306e3d8e9c9e8af7784caedfce92a86676066b4a63f84b8c24a6e,True,[],1,0,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
AIZ,2147,7,2026-08-13,2026-08-13 19:12:51.330758+02:00,13,0,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,e658dd44f9966e3bfa2714e2c20e86abd952971723dd65963a64c37d70b87cd3,e658dd44f9966e3bfa2714e2c20e86abd952971723dd65963a64c37d70b87cd3,True,[],1,0,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
ALKS,2035,633,2026-08-13,2026-08-13 19:12:51.330758+02:00,6,0,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,b1fd6116dcd05113076f33ccb1a8bf5a90a7533a0681df733d8f534d0525274d,b1fd6116dcd05113076f33ccb1a8bf5a90a7533a0681df733d8f534d0525274d,True,[],1,1,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""UNRATED_ACTIONABLE_ALERT"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
ALSN,2175,8,2026-08-13,2026-08-13 19:12:51.330758+02:00,7,0,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,08f28358e48ea8142040682bfe608b770253e3363f09567ddea052af3adcb9cc,08f28358e48ea8142040682bfe608b770253e3363f09567ddea052af3adcb9cc,True,[],1,0,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
AME,2083,202,2026-08-13,2026-08-13 19:12:51.330758+02:00,14,0,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,eb96c2f03ef69d0659424040ff423a2af320c20aa20d000da25ee0b0aa8d60fc,eb96c2f03ef69d0659424040ff423a2af320c20aa20d000da25ee0b0aa8d60fc,True,[],1,0,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
AMG,2076,9,2026-08-13,2026-08-13 19:12:51.330758+02:00,15,0,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,d8ab31a733a3e371e022bb98c280fedb0d32d9341dd473be846d1a0dd2b53cf2,d8ab31a733a3e371e022bb98c280fedb0d32d9341dd473be846d1a0dd2b53cf2,True,[],1,0,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
AMZN,2185,10,2026-08-13,2026-08-13 19:12:51.330758+02:00,174,436,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,c417dd5645090036fdbe99ae0e969f3ca8d8ed6b6f2f8ec9423dcc1c9ef8c184,c417dd5645090036fdbe99ae0e969f3ca8d8ed6b6f2f8ec9423dcc1c9ef8c184,True,[],1,0,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
APG,2051,12,2026-08-13,2026-08-13 19:12:51.330758+02:00,5,0,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,c72af4358be392d536d9f3e4cd23e18839711dff16610a2572048c1c331f5f1d,c72af4358be392d536d9f3e4cd23e18839711dff16610a2572048c1c331f5f1d,True,[],1,0,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
APH,2049,13,2026-08-13,2026-08-13 19:12:51.330758+02:00,24,0,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,626f0114605277e639db6a8d1870a734cd9c6218f583b031daf111a4fee821bc,626f0114605277e639db6a8d1870a734cd9c6218f583b031daf111a4fee821bc,True,[],1,0,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
AR,2172,511,2026-08-13,2026-08-13 19:12:51.330758+02:00,7,423,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,a972d6d94d217f4a666353028ba7fa860483bf6c7d0498308b87da6ed0489592,a972d6d94d217f4a666353028ba7fa860483bf6c7d0498308b87da6ed0489592,True,[],1,0,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
ARMK,2152,634,2026-08-13,2026-08-13 19:12:51.330758+02:00,20,0,[],"[""revision_magnitude"", ""revision_breadth"", ""revision_acceleration"", ""surprise_trend"", ""guidance"", ""catalysts"", ""price_response""]",0.0,0.0,,,0.0,0.0,Insufficient,0.0,Unrated,c936c04fd3b368102226fe97c19a1a044162afd0cd560ca96db39b77c5ac8ecf,c936c04fd3b368102226fe97c19a1a044162afd0cd560ca96db39b77c5ac8ecf,True,[],1,1,"[""NULL_SCORE_OPPORTUNITY_UPGRADE"", ""UNRATED_ACTIONABLE_ALERT"", ""NO_AVAILABLE_OPPORTUNITY_COMPONENTS""]"
