ticker,provider_symbol,exchange,dataset,status,ingestion_run_id,provider_observations,fetched_count,inserted_count,deduplicated_count,corrected_count,quarantined_count,failed_count,retry_count,errors_json,normalized_estimates,normalized_actuals,normalized_catalyst_revisions,missing_currency_rows,currency_usable_rows,revision_features,usable_revision_features
AEIS,AEIS.US,US,catalysts,COMPLETED,11038,3,3,2,1,1,0,0,0,,0,0,1,0,0,24,0
AEIS,AEIS.US,US,earnings,COMPLETED,10838,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
AEIS,AEIS.US,US,estimates,COMPLETED,10638,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
AGNC,AGNC.US,US,catalysts,COMPLETED,11039,4,4,3,1,2,0,0,0,,0,0,1,0,0,24,0
AGNC,AGNC.US,US,earnings,COMPLETED,10839,5,5,0,5,0,0,0,0,,0,0,0,0,0,24,0
AGNC,AGNC.US,US,estimates,COMPLETED,10639,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
AIR,AIR.US,US,catalysts,COMPLETED,11040,2,2,2,0,1,0,0,0,,0,0,1,0,0,24,0
AIR,AIR.US,US,earnings,COMPLETED,10840,5,5,0,5,0,0,0,0,,0,0,0,0,0,24,0
AIR,AIR.US,US,estimates,COMPLETED,10640,54,54,54,0,54,0,0,0,,54,0,0,54,0,24,0
AIZ,AIZ.US,US,catalysts,COMPLETED,11041,4,4,2,2,1,0,0,0,,0,0,1,0,0,24,0
AIZ,AIZ.US,US,earnings,COMPLETED,10841,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
AIZ,AIZ.US,US,estimates,COMPLETED,10641,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
ALKS,ALKS.US,US,catalysts,COMPLETED,11042,2,2,2,0,0,0,0,0,,0,0,2,0,0,24,0
ALKS,ALKS.US,US,earnings,COMPLETED,10842,4,4,4,0,0,0,0,0,,0,4,0,0,0,24,0
ALKS,ALKS.US,US,estimates,COMPLETED,10642,48,48,48,0,0,0,0,0,,48,0,0,48,0,24,0
ALSN,ALSN.US,US,catalysts,COMPLETED,11043,3,3,0,3,0,0,0,0,,0,0,0,0,0,24,0
ALSN,ALSN.US,US,earnings,COMPLETED,10843,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
ALSN,ALSN.US,US,estimates,COMPLETED,10643,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
AME,AME.US,US,catalysts,COMPLETED,11044,5,5,5,0,1,0,0,0,,0,0,4,0,0,24,0
AME,AME.US,US,earnings,COMPLETED,10844,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
AME,AME.US,US,estimates,COMPLETED,10644,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
AMG,AMG.US,US,catalysts,COMPLETED,11045,6,6,6,0,4,0,0,0,,0,0,5,0,0,24,0
AMG,AMG.US,US,earnings,COMPLETED,10845,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
AMG,AMG.US,US,estimates,COMPLETED,10645,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
AMZN,AMZN.US,US,catalysts,COMPLETED,11046,50,50,31,19,8,0,0,0,,0,0,22,0,0,24,0
AMZN,AMZN.US,US,earnings,COMPLETED,10846,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
AMZN,AMZN.US,US,estimates,COMPLETED,10646,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
APG,APG.US,US,catalysts,COMPLETED,11047,1,1,1,0,0,0,0,0,,0,0,1,0,0,24,0
APG,APG.US,US,earnings,COMPLETED,10847,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
APG,APG.US,US,estimates,COMPLETED,10647,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
APH,APH.US,US,catalysts,COMPLETED,11048,9,9,6,3,4,0,0,0,,0,0,3,0,0,24,0
APH,APH.US,US,earnings,COMPLETED,10848,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
APH,APH.US,US,estimates,COMPLETED,10648,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
AR,AR.US,US,catalysts,COMPLETED,11049,2,2,1,1,1,0,0,0,,0,0,0,0,0,24,0
AR,AR.US,US,earnings,COMPLETED,10849,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
AR,AR.US,US,estimates,COMPLETED,10649,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
ARMK,ARMK.US,US,catalysts,COMPLETED,11050,16,16,16,0,4,0,0,0,,0,0,16,0,0,24,0
ARMK,ARMK.US,US,earnings,COMPLETED,10850,4,4,4,0,0,0,0,0,,0,4,0,0,0,24,0
ARMK,ARMK.US,US,estimates,COMPLETED,10650,36,36,36,0,0,0,0,0,,36,0,0,36,0,24,0
ASB,ASB.US,US,catalysts,COMPLETED,11051,1,1,0,1,0,0,0,0,,0,0,0,0,0,24,0
ASB,ASB.US,US,earnings,COMPLETED,10851,5,5,0,5,0,0,0,0,,0,0,0,0,0,24,0
ASB,ASB.US,US,estimates,COMPLETED,10651,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
ASC,ASC.US,US,catalysts,COMPLETED,11052,0,0,0,0,0,0,0,0,,0,0,0,0,0,24,0
ASC,ASC.US,US,earnings,COMPLETED,10852,4,4,4,0,0,0,0,0,,0,4,0,0,0,24,0
ASC,ASC.US,US,estimates,COMPLETED,10652,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
ASND,ASND.US,US,catalysts,COMPLETED,11053,1,1,1,0,0,0,0,0,,0,0,1,0,0,24,0
ASND,ASND.US,US,earnings,COMPLETED,10853,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
ASND,ASND.US,US,estimates,COMPLETED,10653,36,36,36,0,36,0,0,0,,36,0,0,36,0,24,0
AUB,AUB.US,US,catalysts,COMPLETED,11054,0,0,0,0,0,0,0,0,,0,0,0,0,0,24,0
AUB,AUB.US,US,earnings,COMPLETED,10854,5,5,0,5,0,0,0,0,,0,0,0,0,0,24,0
AUB,AUB.US,US,estimates,COMPLETED,10654,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
AVGO,AVGO.US,US,catalysts,COMPLETED,11055,36,36,13,23,5,0,0,0,,0,0,9,0,0,24,0
AVGO,AVGO.US,US,earnings,COMPLETED,10855,5,5,0,5,0,0,0,0,,0,0,0,0,0,24,0
AVGO,AVGO.US,US,estimates,COMPLETED,10655,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
AVT,AVT.US,US,catalysts,COMPLETED,11056,4,4,2,2,1,0,0,0,,0,0,1,0,0,24,0
AVT,AVT.US,US,earnings,COMPLETED,10856,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
AVT,AVT.US,US,estimates,COMPLETED,10656,54,54,54,0,54,0,0,0,,54,0,0,54,0,24,0
AWR,AWR.US,US,catalysts,COMPLETED,11057,6,6,1,5,0,0,0,0,,0,0,1,0,0,24,0
AWR,AWR.US,US,earnings,COMPLETED,10857,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
AWR,AWR.US,US,estimates,COMPLETED,10657,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
AX,AX.US,US,catalysts,COMPLETED,11058,1,1,1,0,1,0,0,0,,0,0,0,0,0,24,0
AX,AX.US,US,earnings,COMPLETED,10858,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
AX,AX.US,US,estimates,COMPLETED,10658,54,54,54,0,54,0,0,0,,54,0,0,54,0,24,0
AXP,AXP.US,US,catalysts,COMPLETED,11059,21,21,21,0,9,0,0,0,,0,0,21,0,0,24,0
AXP,AXP.US,US,earnings,COMPLETED,10859,5,5,5,0,0,0,0,0,,0,5,0,0,0,24,0
AXP,AXP.US,US,estimates,COMPLETED,10659,48,48,48,0,0,0,0,0,,48,0,0,48,0,24,0
AYI,AYI.US,US,catalysts,COMPLETED,11060,2,2,1,1,0,0,0,0,,0,0,1,0,0,24,0
AYI,AYI.US,US,earnings,COMPLETED,10860,5,5,0,5,0,0,0,0,,0,0,0,0,0,24,0
AYI,AYI.US,US,estimates,COMPLETED,10660,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
BCPC,BCPC.US,US,catalysts,COMPLETED,11061,0,0,0,0,0,0,0,0,,0,0,0,0,0,24,0
BCPC,BCPC.US,US,earnings,COMPLETED,10861,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
BCPC,BCPC.US,US,estimates,COMPLETED,10661,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
BEN,BEN.US,US,catalysts,COMPLETED,11062,4,4,4,0,4,0,0,0,,0,0,1,0,0,24,0
BEN,BEN.US,US,earnings,COMPLETED,10862,4,4,0,4,0,0,0,0,,0,0,0,0,0,24,0
BEN,BEN.US,US,estimates,COMPLETED,10662,48,48,48,0,48,0,0,0,,48,0,0,48,0,24,0
