ticker,company_id,cik,ingestion_run_id,status,failed_count,requested_count,fetched_count,inserted_count,deduplicated_count,retry_count,errors_json,started_at,completed_at,documents,completed_with_records,completed_no_records,nonterminal,downloaded_during_run,extracted_during_run,cached_bytes,historical_guidance_rows,explicitly_accepted,historical_accessions,selected_guidance_ids,selected_guidance_count
AEIS,2,0000927003,11238,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0000927003 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:15.284803+02:00,2026-08-13 17:28:15.316057+02:00,0,0,0,0,0,0,0,600,0,60,[],0
AGNC,4,0001423689,11239,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0001423689 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:15.319068+02:00,2026-08-13 17:28:15.323034+02:00,0,0,0,0,0,0,0,571,0,69,[],0
AIR,6,0000001750,11240,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0000001750 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:15.326037+02:00,2026-08-13 17:28:15.330037+02:00,0,0,0,0,0,0,0,218,0,57,[],0
AIZ,7,0001267238,11241,COMPLETED,0,0,0,0,0,0,,2026-08-13 17:28:15.332037+02:00,2026-08-13 17:28:17.553156+02:00,212,72,140,0,0,0,187349166,0,0,0,[],0
ALKS,633,0001520262,11242,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0001520262 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:17.558156+02:00,2026-08-13 17:28:17.923812+02:00,0,0,0,0,0,0,0,0,0,0,[],0
ALSN,8,0001411207,11243,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0001411207 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:17.939788+02:00,2026-08-13 17:28:17.946785+02:00,0,0,0,0,0,0,0,0,0,0,[],0
AME,202,0001037868,11244,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0001037868 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:17.948754+02:00,2026-08-13 17:28:17.954183+02:00,0,0,0,0,0,0,0,0,0,0,[],0
AMG,9,0001004434,11245,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0001004434 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:17.956753+02:00,2026-08-13 17:28:17.969380+02:00,0,0,0,0,0,0,0,0,0,0,[],0
AMZN,10,0001018724,11246,COMPLETED,0,0,0,0,0,0,,2026-08-13 17:28:17.972381+02:00,2026-08-13 17:28:18.993032+02:00,88,25,63,0,0,0,44682696,436,0,25,[],0
APG,12,0001796209,11247,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0001796209 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:18.996005+02:00,2026-08-13 17:28:19.000004+02:00,0,0,0,0,0,0,0,0,0,0,[],0
APH,13,0000820313,11248,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0000820313 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:19.008003+02:00,2026-08-13 17:28:19.011004+02:00,0,0,0,0,0,0,0,0,0,0,[],0
AR,511,0001433270,11249,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0001433270 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:19.014005+02:00,2026-08-13 17:28:19.017007+02:00,0,0,0,0,0,0,0,423,0,66,[],0
ARMK,634,0001584509,11250,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0001584509 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:19.019034+02:00,2026-08-13 17:28:19.023006+02:00,0,0,0,0,0,0,0,0,0,0,[],0
ASB,14,0000007789,11251,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0000007789 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:19.024528+02:00,2026-08-13 17:28:19.027528+02:00,0,0,0,0,0,0,0,410,0,19,[],0
ASC,15,0001577437,11252,PARTIAL,1,0,0,0,0,0,"{""documents"": [{""error"": ""SEC ACTIVE sync requires a successful SHADOW bootstrap for CIK 0001577437 and processor signature sec-guidance:910cfd73179f55a7.""}]}",2026-08-13 17:28:19.030529+02:00,2026-08-13 17:28:19.033529+02:00,0,0,0,0,0,0,0,0,0,0,[],0
