family,profile,canonical_key,type,canonical_value_type,repository_effective_default,source_kind,source_identifier,resolver,precedence,classification,defaulted,consumer,dynamic_read,snapshot_ready,represented_in_calculation_identity,schema
core.fundamental,,components.balance_sheet_quality_score.fields,list,STRUCTURE,"{""type"":""list"",""value"":[{""type"":""string"",""value"":""total_assets_annual""},{""type"":""string"",""value"":""total_liabilities_annual""},{""type"":""string"",""value"":""working_capital_per_share_annual""},{""type"":""string"",""value"":""working_capital_per_share_quarterly""},{""type"":""string"",""value"":""quick_ratio_quarterly""},{""type"":""string"",""value"":""quick_ratio_annual""},{""type"":""string"",""value"":""cash_short_term_investments_annual""},{""type"":""string"",""value"":""current_ratio""},{""type"":""string"",""value"":""net_debt_to_ebitda""},{""type"":""string"",""value"":""debt_to_ebitda_annual""},{""type"":""string"",""value"":""debt_to_equity""},{""type"":""string"",""value"":""debt_to_assets""},{""type"":""string"",""value"":""total_debt_to_capital_annual""},{""type"":""string"",""value"":""ebitda_interest_coverage_ttm""}]}",PROFILE,config/fundamentals_v2.yaml,core_effective_configuration.resolve_fundamental_configuration,REQUEST > PROFILE > CODE_DEFAULT,BEHAVIORAL,False,score_rows_v2;score_components_v2;calculate_coverage_v2;build_warning_flags_v2,no during certified scoring,True,True,core.fundamental-v1
core.fundamental,,components.capital_efficiency_score.fields,list,STRUCTURE,"{""type"":""list"",""value"":[{""type"":""string"",""value"":""roic_ttm""},{""type"":""string"",""value"":""roic_annual""},{""type"":""string"",""value"":""return_on_total_capital_ttm""},{""type"":""string"",""value"":""roa_ttm""},{""type"":""string"",""value"":""roa_annual""},{""type"":""string"",""value"":""asset_turnover_ttm""},{""type"":""string"",""value"":""asset_turnover_annual""},{""type"":""string"",""value"":""total_assets_growth_annual_yoy""}]}",PROFILE,config/fundamentals_v2.yaml,core_effective_configuration.resolve_fundamental_configuration,REQUEST > PROFILE > CODE_DEFAULT,BEHAVIORAL,False,score_rows_v2;score_components_v2;calculate_coverage_v2;build_warning_flags_v2,no during certified scoring,True,True,core.fundamental-v1
core.fundamental,,components.earnings_quality_score.fields,list,STRUCTURE,"{""type"":""list"",""value"":[{""type"":""string"",""value"":""sloan_ratio_ttm""},{""type"":""string"",""value"":""net_income_ttm""},{""type"":""string"",""value"":""fcf_ttm""},{""type"":""string"",""value"":""operating_cash_flow_per_share_ttm""}]}",PROFILE,config/fundamentals_v2.yaml,core_effective_configuration.resolve_fundamental_configuration,REQUEST > PROFILE > CODE_DEFAULT,BEHAVIORAL,False,score_rows_v2;score_components_v2;calculate_coverage_v2;build_warning_flags_v2,no during certified scoring,True,True,core.fundamental-v1
core.fundamental,,components.fcf_quality_score.fields,list,STRUCTURE,"{""type"":""list"",""value"":[{""type"":""string"",""value"":""fcf_ttm""},{""type"":""string"",""value"":""fcf_margin_ttm""},{""type"":""string"",""value"":""fcf_growth_ttm_yoy""},{""type"":""string"",""value"":""pfcf""},{""type"":""string"",""value"":""ev_fcf""},{""type"":""string"",""value"":""operating_cash_flow_per_share_ttm""},{""type"":""string"",""value"":""capex_ttm""},{""type"":""string"",""value"":""capex_growth_ttm_yoy""}]}",PROFILE,config/fundamentals_v2.yaml,core_effective_configuration.resolve_fundamental_configuration,REQUEST > PROFILE > CODE_DEFAULT,BEHAVIORAL,False,score_rows_v2;score_components_v2;calculate_coverage_v2;build_warning_flags_v2,no during certified scoring,True,True,core.fundamental-v1
core.fundamental,,components.forward_quality_score.fields,list,STRUCTURE,"{""type"":""list"",""value"":[{""type"":""string"",""value"":""eps_estimate_annual""},{""type"":""string"",""value"":""eps_estimate_quarterly""},{""type"":""string"",""value"":""revenue_estimate_annual""},{""type"":""string"",""value"":""net_income_estimate_ntm""},{""type"":""string"",""value"":""ebit_estimate_ntm""},{""type"":""string"",""value"":""cash_short_term_investments_estimate_annual""},{""type"":""string"",""value"":""capex_estimate_ntm""},{""type"":""string"",""value"":""analyst_rating""}]}",PROFILE,config/fundamentals_v2.yaml,core_effective_configuration.resolve_fundamental_configuration,REQUEST > PROFILE > CODE_DEFAULT,BEHAVIORAL,False,score_rows_v2;score_components_v2;calculate_coverage_v2;build_warning_flags_v2,no during certified scoring,True,True,core.fundamental-v1
core.fundamental,,components.growth_quality_score.fields,list,STRUCTURE,"{""type"":""list"",""value"":[{""type"":""string"",""value"":""revenue_growth_quarterly_yoy""},{""type"":""string"",""value"":""revenue_growth_ttm_yoy""},{""type"":""string"",""value"":""revenue_growth_5y_cagr""},{""type"":""string"",""value"":""eps_growth_quarterly_yoy""},{""type"":""string"",""value"":""eps_growth_ttm_yoy""},{""type"":""string"",""value"":""ebitda_growth_ttm_yoy""},{""type"":""string"",""value"":""fcf_growth_ttm_yoy""},{""type"":""string"",""value"":""gross_profit_growth_ttm_yoy""},{""type"":""string"",""value"":""net_income_growth_ttm_yoy""},{""type"":""string"",""value"":""total_revenue_ttm""}]}",PROFILE,config/fundamentals_v2.yaml,core_effective_configuration.resolve_fundamental_configuration,REQUEST > PROFILE > CODE_DEFAULT,BEHAVIORAL,False,score_rows_v2;score_components_v2;calculate_coverage_v2;build_warning_flags_v2,no during certified scoring,True,True,core.fundamental-v1
core.fundamental,,components.liquidity_risk_score.fields,list,STRUCTURE,"{""type"":""list"",""value"":[{""type"":""string"",""value"":""dollar_volume_10d""},{""type"":""string"",""value"":""dollar_volume_30d""},{""type"":""string"",""value"":""dollar_volume_60d""},{""type"":""string"",""value"":""free_float""},{""type"":""string"",""value"":""relative_volume_1d""},{""type"":""string"",""value"":""volume_change_1d_pct""},{""type"":""string"",""value"":""price_change_1d_pct""},{""type"":""string"",""value"":""beta_1y""},{""type"":""string"",""value"":""beta_3y""},{""type"":""string"",""value"":""tradingview_atr_pct_14d""}]}",PROFILE,config/fundamentals_v2.yaml,core_effective_configuration.resolve_fundamental_configuration,REQUEST > PROFILE > CODE_DEFAULT,BEHAVIORAL,False,score_rows_v2;score_components_v2;calculate_coverage_v2;build_warning_flags_v2,no during certified scoring,True,True,core.fundamental-v1
core.fundamental,,components.profitability_quality_score.fields,list,STRUCTURE,"{""type"":""list"",""value"":[{""type"":""string"",""value"":""gross_margin_ttm""},{""type"":""string"",""value"":""gross_margin_annual""},{""type"":""string"",""value"":""ebitda_margin_ttm""},{""type"":""string"",""value"":""operating_margin_ttm""},{""type"":""string"",""value"":""operating_margin_annual""},{""type"":""string"",""value"":""net_margin_ttm""},{""type"":""string"",""value"":""net_margin_annual""},{""type"":""string"",""value"":""roe_ttm""},{""type"":""string"",""value"":""roa_ttm""},{""type"":""string"",""value"":""roa_annual""},{""type"":""string"",""value"":""roic_ttm""},{""type"":""string"",""value"":""roce_ttm""},{""type"":""string"",""value"":""return_on_total_capital_ttm""}]}",PROFILE,config/fundamentals_v2.yaml,core_effective_configuration.resolve_fundamental_configuration,REQUEST > PROFILE > CODE_DEFAULT,BEHAVIORAL,False,score_rows_v2;score_components_v2;calculate_coverage_v2;build_warning_flags_v2,no during certified scoring,True,True,core.fundamental-v1
core.fundamental,,components.shareholder_quality_score.fields,list,STRUCTURE,"{""type"":""list"",""value"":[{""type"":""string"",""value"":""buyback_yield""},{""type"":""string"",""value"":""dividend_yield_ttm""},{""type"":""string"",""value"":""dividend_payout_ratio_ttm""},{""type"":""string"",""value"":""total_common_shares_outstanding""}]}",PROFILE,config/fundamentals_v2.yaml,core_effective_configuration.resolve_fundamental_configuration,REQUEST > PROFILE > CODE_DEFAULT,BEHAVIORAL,False,score_rows_v2;score_components_v2;calculate_coverage_v2;build_warning_flags_v2,no during certified scoring,True,True,core.fundamental-v1
core.fundamental,,components.valuation_quality_score.fields,list,STRUCTURE,"{""type"":""list"",""value"":[{""type"":""string"",""value"":""pe_ratio""},{""type"":""string"",""value"":""forward_pe""},{""type"":""string"",""value"":""earnings_yield_ttm""},{""type"":""string"",""value"":""ps_ratio""},{""type"":""string"",""value"":""ev_revenue""},{""type"":""string"",""value"":""ev_ebitda""},{""type"":""string"",""value"":""pfcf""},{""type"":""string"",""value"":""ev_fcf""},{""type"":""string"",""value"":""peg_ratio""}]}",PROFILE,config/fundamentals_v2.yaml,core_effective_configuration.resolve_fundamental_configuration,REQUEST > PROFILE > CODE_DEFAULT,BEHAVIORAL,False,score_rows_v2;score_components_v2;calculate_coverage_v2;build_warning_flags_v2,no during certified scoring,True,True,core.fundamental-v1
