scenario,ticker,total_ms,sec_calls,filings_considered,filings_downloaded,filings_already_known,http_ms,pacing_ms,parse_ms,db_ms,guidance_records,deduplicated_records,cik,filings_present,filings_filtered,bytes_downloaded,oldest_candidate_date,newest_candidate_date
A,AIZ,145761.2770999549,214,212,212,72,100457.444,11035.998,8547.647,10116.008,1924,1924,0001267238,1000,788,188303195,2014-07-23,2026-08-06
A,SLDE,29141.832199995406,18,17,17,6,3822.374,727.511,8933.62,626.474,41,41,0001886428,194,177,24527286,2025-06-20,2026-07-30
A,AMZN,23701.38959994074,89,88,88,25,12270.328,5753.624,1717.588,1270.092,436,436,0001018724,1002,914,44842712,2020-07-30,2026-07-31
A,CLBT,16575.984900002368,61,60,60,5,14092.289,379.214,708.898,438.427,141,141,0001854587,332,272,16616313,2021-08-31,2026-08-13
A,JPM,13041.960700065829,31,30,30,4,6088.978,1974.62,1528.097,1045.165,292,292,0000019617,25727,25697,50897476,2025-09-12,2026-08-06
B,AIZ,74387.8357000649,214,212,212,72,31004.011,15963.497,8309.773,5930.639,1924,1924,0001267238,1000,788,188303195,2014-07-23,2026-08-06
B,AMZN,23814.033799921162,89,88,88,25,12600.719,5619.625,1742.223,1275.73,436,436,0001018724,1002,914,44842712,2020-07-30,2026-07-31
B,CLBT,14272.587299929,61,60,60,5,6068.864,6281.582,567.338,450.139,141,141,0001854587,332,272,16616313,2021-08-31,2026-08-13
B,JPM,12052.789299981669,31,30,30,4,5138.713,2233.087,1521.646,852.896,292,292,0000019617,25727,25697,50897476,2025-09-12,2026-08-06
B,SLDE,6140.87100001052,18,17,17,6,3072.188,1036.658,941.092,144.522,41,41,0001886428,194,177,24527286,2025-06-20,2026-07-30
