variant,N,mean_score_delta,median_score_delta,mean_abs_rank_delta,classification_delta_rate,action_delta_rate,top20_N,top20_mean_5d_return,top20_mean_10d_return,top20_mean_MFE_5d,top20_mean_MAE_5d,forward_return_5d_delta,forward_return_10d_delta,MFE_5d_delta,MAE_5d_delta,forward_return_5d_delta_ci_low,forward_return_5d_delta_ci_high,evidence_strength,uncertainty_method
A0_baseline_v5,5848,0.0,0.0,0.0,0.0,0.0,1178,0.4755843847184987,2.482520469483568,3.3827500576407505,-2.7957334142091157,0.0,0.0,0.0,0.0,0.0,0.0,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A10_no_momentum_acceleration,5848,0.013332062243502,0.0143000000000004,0.0051116675657226,0.0,0.0,1178,0.5073537634408601,2.4219091981132075,3.4093068346774187,-2.772714549731183,0.0317693787223614,-0.0606112713703601,0.0265567770366681,0.0230188644779323,-0.1048390093220867,0.0427709053866711,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A11_no_sector_rs,5848,0.044766928864569,0.0,0.0141117855531853,0.0,0.0,1178,0.5792262516644474,2.7388113233944957,3.501648081225033,-2.788702344873501,0.1036418669459487,0.2562908539109276,0.1188980235842827,0.0070310693356137,-0.0169771473893805,0.2311194660751986,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A12_no_danger_caps,5848,0.3790067544459644,0.0,0.1072430874340244,0.0,0.0,1178,0.5123569573590097,2.4409095388349518,3.326450833562586,-2.7827584195323247,0.0367725726405109,-0.0416109306486163,-0.0562992240781645,0.0129749946767905,-0.0641668461574705,0.1695729020394369,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A13_no_roc126,5848,-5.112859097121762e-06,-0.00035,0.0057695554539794,0.0,0.0,1177,0.5266321588156123,2.5111450373831774,3.418446227456258,-2.757985777927322,0.0510477740971136,0.0286245678996097,0.0356961698155076,0.0377476362817934,-0.0795702483765198,0.0505902734220862,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A14_no_benchmark_rs,5848,-1.2140902872646965e-06,0.0014000000000002,0.0036602032980187,0.0,0.0,1179,0.4480543658210947,2.5114079462616825,3.371490981308411,-2.8123849158878507,-0.0275300188974039,0.0288874767781148,-0.0112590763323394,-0.0166515016787354,-0.0452951455222519,0.0826406487912124,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A1_no_leadership,5848,0.1174647913816689,0.1137499999999995,0.0213534639027875,0.0,0.0,1179,0.4862308661311914,2.6135175418604653,3.346296206157965,-2.7547321847389554,0.0106464814126927,0.1309970723768976,-0.0364538514827854,0.0410012294701598,-0.1009310701428268,0.1336113667856662,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A2_no_residual_momentum,5848,1.7578659370720364e-05,-0.0003000000000001,0.0033160518315051,0.0,0.0,1178,0.4864191260053619,2.456197547169811,3.36510831769437,-2.7904520013404825,0.0108347412868632,-0.0263229223137564,-0.0176417399463804,0.0052814128686327,-0.0457190497209424,0.0833429460620308,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A3_no_stage_modifier,5848,-0.0326362175102599,-0.0625,0.0099405992836373,0.0,0.0,1179,0.4766061522029373,2.4742255,3.3778050013351133,-2.802754810413885,0.0010217674844386,-0.0082949694835674,-0.0049450563056372,-0.0070213962047702,-0.1041822223183282,0.0883715801589657,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A4_no_htf,5848,-0.0303689466484268,-0.0364000000000004,0.012021950252121,0.0,0.0,1178,0.4688549264705882,2.4837237482678978,3.443787200534759,-2.791677901069519,-0.0067294582479104,0.0012032787843301,0.0610371428940084,0.0040555131395962,-0.0562359968949929,0.1107477364366646,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A5_no_trigger_quality,5848,0.1196053522571819,0.0829000000000004,0.0557689049839048,0.0,0.0,1178,0.2679448046272493,2.071927667405765,3.234840807197944,-2.903868102827764,-0.2076395800912493,-0.4105928020778027,-0.1479092504428067,-0.1081346886186485,-0.3470984286346396,0.0640722568987122,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A6_no_climax_risk,5848,0.0392895177838577,0.0,0.0135938274889175,0.0025649794801641,0.0,1178,0.4490973284768212,2.090160455172414,3.385346103311259,-2.8222786966887417,-0.0264870562416774,-0.3923600143111536,0.0025960456705083,-0.0265452824796263,-0.1365970181704678,0.0996112637505746,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A7_old_max_setup_logic,5848,0.2016892954856361,0.141,0.0641430148715281,0.0,0.0,1178,0.5850241732070364,2.598544309468822,3.5206193761840323,-2.7441606251691475,0.1094397884885376,0.1160238399852544,0.1378693185432817,0.0515727890399677,-0.1452303023347842,0.2295147279459147,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A8_no_confidence_adjustment,5848,0.2253676983584131,0.2472000000000003,0.0317560942429737,0.0,0.0,1178,0.4755843847184987,2.482520469483568,3.3827500576407505,-2.7957334142091157,0.0142465650898515,-0.1181858075117374,-0.008878380025032,0.0224456507776222,-0.0685391793705288,0.1102686279077117,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
A9_fixed_regime_weights,5848,0.0482116621067031,0.0,0.0846839621697381,0.0,0.0,1178,0.265217280927835,1.3849055150862069,3.306862984536082,-2.843905341494845,-0.2103671037906636,-1.0976149543973608,-0.0758870731046679,-0.0481719272857299,-0.4822155424249067,-0.0666489943327115,STRONGER_AGGREGATE,OBSERVATION_BOOTSTRAP_EXPLORATORY_17_RUNS
