from_value,to_value,count,percentage,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,from_decision_bucket,to_decision_bucket,true_decision_change
Avoid / exit risk,Avoid,1489,0.2546169630642955,1489,1211,0.46931376453996565,0.2197172334734265,2.035568427272469,1.5037593984962294,-1.0760236110264492,-0.8909060346276698,0.564822460776218,1032,1.1299260012538659,0.6056018168054456,3.693628699720002,2.4765163910230754,-2.092177294643421,-1.700811751063014,0.564922480620155,955,1.7303314239682157,0.8856524306238844,4.824276998367997,3.6177806619078767,-2.5330940789743552,-2.163805436337629,0.612565445026178,642,3.466222930429688,2.534315475224713,7.196426729436748,5.552037154317091,-2.8533177338501816,-2.481898331512844,0.721183800623053,0.7204301075268817,4.112956810631229,3.1926701570680627,6.308411214953271,AVOID,AVOID,False
No clear trade,Defensive / wait for confirmation,699,0.1195280437756498,699,655,0.19254087782226176,0.134559700221426,1.7543966515036655,1.4509354715540157,-1.2659430114189432,-1.030376020339907,0.5343511450381679,618,0.8484165191152612,0.6401795142555455,3.4234124955215415,2.5028245156921587,-2.1976192400912815,-1.705445630951924,0.5825242718446602,569,1.4118831814804949,1.2018288700196056,4.401383400458362,3.548098741662664,-2.648557755358767,-2.0212676175204614,0.6151142355008787,399,3.8910990939418375,3.021978021978033,7.1760788444951,6.252183024799174,-3.031394883838602,-2.175602175602187,0.7593984962406015,0.7063492063492064,4.0497512437810945,3.1159929701230227,6.370927318295739,NO_TRADE,WAIT_CONFIRM,True
"Improving, not ready",Defensive / wait for confirmation,563,0.09627222982216142,563,535,0.1593224620182064,-0.1266223488445739,1.69871663790158,1.1287171695246512,-1.430978465678583,-1.426735218509001,0.4803738317757009,513,0.9846389384005225,0.3379091869060158,3.562682215185433,2.309946409243313,-2.193527374572598,-2.013276743932957,0.5321637426900585,484,2.2125934529057827,1.486570893191752,5.1843114232566965,3.312455443527851,-2.43916058399453,-2.1794221996958907,0.6363636363636364,377,3.123603582077611,2.2087244616234347,6.953068956504769,5.068914454949303,-2.7117617152496227,-2.524686959177447,0.7480106100795756,0.625,4.397058823529412,3.2665289256198347,5.9204244031830235,WAIT_CONFIRM,WAIT_CONFIRM,False
"Do not chase, wait mini-pullback",Defensive / wait for confirmation,459,0.07848837209302326,459,455,0.04433634160549143,-0.1297241200380439,1.4804061364306558,1.0796448271222836,-1.361050511027161,-1.1293380595169489,0.4461538461538462,438,0.3901599379133599,0.2586652871184647,2.7031897482528846,1.910709292571533,-2.192339100853299,-1.8622848200312905,0.5593607305936074,416,0.6901014987113139,0.7297802072792958,3.499493151017883,2.563029118987825,-2.6317004947836318,-2.3202341137123828,0.5817307692307693,269,1.7247342190702306,1.5252820727120753,5.2966169185247995,4.346431435445064,-3.2249912329481085,-2.762589928057546,0.6319702602230484,0.5502958579881657,4.707070707070707,3.0697115384615383,5.672862453531598,WAIT_CONFIRM,WAIT_CONFIRM,False
Watch / trail / smaller size,Defensive / wait for confirmation,366,0.06258549931600547,366,361,-0.2360480054642137,-0.470202296336808,1.4647873846114814,1.0827574949670904,-1.645029666379714,-1.3355269524823354,0.4099722991689751,341,-0.5529082198730638,-0.6680488366735626,2.321615285756578,1.6666666666666607,-2.97018848280419,-2.5948660714285587,0.41935483870967744,322,-0.5388310090357661,-0.49681313608080924,2.7897791249212776,1.9917561118686256,-3.3641053288057274,-2.9279850529798317,0.4192546583850932,217,0.15540210514836075,0.3720508166969116,4.088423823286865,3.364120542034632,-4.120687425918596,-3.414820473643998,0.5161290322580645,0.35802469135802467,5.166666666666667,2.8198757763975157,5.940092165898617,WAIT_CONFIRM,WAIT_CONFIRM,False
"Good chart, R/R failed",Defensive / wait for confirmation,346,0.059165526675786596,346,312,-0.09990539657336879,-0.2190721649484417,1.2176154635188534,0.9801793479324972,-1.5065154195724506,-1.1083380940268284,0.42628205128205127,280,0.4343512435690863,-0.13565443193835344,3.015412517943922,1.5880667963129147,-2.42118035095892,-2.239484340137188,0.4607142857142857,260,0.48563546579377564,0.0747668034277282,4.050764100273848,2.5018356765478593,-2.996573647844166,-2.654867256637161,0.5230769230769231,162,2.4545812228246233,2.307884577998731,6.007052703581055,5.412054120541199,-3.6173118104470645,-3.023884816791628,0.7037037037037037,0.4939759036144578,4.733333333333333,2.9615384615384617,6.58641975308642,WAIT_CONFIRM,WAIT_CONFIRM,False
No clear trade,No qualified setup,233,0.03984268125854993,233,187,0.10678090579657312,0.2108116247553138,1.6503423604440262,1.1618664671778631,-1.2167803140830205,-0.8316430020283927,0.5668449197860963,156,1.132747017998857,0.12724983211422894,3.6294769774773137,2.239291758885553,-1.9619833112246938,-1.4977829471983006,0.5384615384615384,137,1.3432453290849522,0.9256677633413312,4.274115052796205,2.8014616321558883,-2.3195561313250455,-2.0502690552414604,0.635036496350365,80,2.0774985467389073,0.285632676378178,6.239456614759142,4.065037914902748,-2.8258903968569724,-2.0502690552414604,0.55,0.47368421052631576,3.2580645161290325,3.0948905109489053,5.975,NO_TRADE,NO_TRADE,False
"Improving, not ready","Setup candidate, wait for trigger",203,0.034712722298221615,203,124,0.9051573459990917,0.7859642032946645,1.9369132832542053,1.6960691589032018,-0.8007217959876379,-0.8295547561647021,0.7338709677419355,43,1.861030288517517,1.077009714205257,3.479392691669357,2.354857819905209,-1.7492175150667229,-1.969659897235132,0.6744186046511628,41,0.13283142229512532,0.1932367149758418,3.9854736633898145,3.0247578040904166,-2.1212454776525735,-2.347068819031428,0.5609756097560976,0,,,,,,,,,,3.097560975609756,,WAIT_CONFIRM,WAIT_CONFIRM,False
No clear trade,"Setup candidate, wait for trigger",194,0.03317373461012312,194,132,0.6648574764228635,0.6002304458766816,1.961572670326183,1.8375324876743648,-0.7386102353940401,-0.480065556824677,0.7196969696969697,58,0.3789940739121419,0.21612859032628104,2.758957147350997,2.2338078215372925,-1.7834723813222308,-1.4604138551506884,0.5172413793103449,47,1.119016973491488,0.7491146826477779,3.6926652400194686,3.0255081162188,-2.194307116627671,-1.6419159171721431,0.5531914893617021,0,,,,,,,,,,3.0638297872340425,,NO_TRADE,WAIT_CONFIRM,True
No clear trade,Avoid,167,0.028556771545827635,167,145,0.23414914348035556,0.0579206487112626,1.5657427883728303,1.1344669740386282,-0.954990404341635,-0.9727626459143934,0.503448275862069,130,1.05001223784833,0.6151475643001003,3.1103553862532958,2.4080560420315367,-1.7357891365297997,-1.4231836593416924,0.6076923076923076,123,1.327315796637081,0.8701472556894352,3.982260317134771,3.076923076923088,-2.3774315489551223,-2.1106977450459308,0.6910569105691057,90,2.559146214883507,2.2528797071569295,5.480795008652327,4.53579021970234,-2.71883246851864,-2.4883875248838727,0.8,0.631578947368421,4.931034482758621,3.186991869918699,5.933333333333334,NO_TRADE,AVOID,True
"Good chart, RS failed",Defensive / wait for confirmation,126,0.021545827633378933,126,104,0.22575291296772754,0.077586749152303,1.592448665540894,1.257943198028788,-1.1413940368675062,-1.2338620749380027,0.5096153846153846,86,0.6026780557968807,-0.0907794060433064,2.6020607937177886,1.6847544611016674,-1.7551995863131482,-1.857907780297302,0.4883720930232558,75,1.7003668654328299,1.0840633015535062,4.09367442709403,2.6595043501186355,-1.9277536786088585,-2.06119847003825,0.72,49,3.2616087762358146,3.67619018563996,6.688311533764453,6.406504065040641,-1.7928033068797438,-1.806893598801118,0.8367346938775511,0.9333333333333333,4.464285714285714,3.1333333333333333,6.551020408163265,WAIT_CONFIRM,WAIT_CONFIRM,False
Avoid,Avoid,120,0.02051983584131327,120,110,0.412528121317183,0.22965817855108425,2.11118412165658,1.5199350310528437,-1.0965914515139108,-0.8752975727993995,0.5818181818181818,101,1.2584584235240341,1.0452961672473782,3.7783021944154616,2.7994273898520827,-2.0392874536970753,-1.5323731075422289,0.5742574257425742,92,2.012055704586421,1.996513413181067,4.7949395403806845,4.441124304750044,-2.3239049443415793,-1.8072136466174893,0.5978260869565217,75,2.8545110263836615,2.300347222222232,6.493753734506137,5.409604519773992,-2.6215468923187175,-1.8072136466174893,0.6666666666666666,0.5384615384615384,3.727272727272727,2.9565217391304346,5.546666666666667,AVOID,AVOID,False
Watch / trail / smaller size,"Setup candidate, wait for trigger",116,0.019835841313269494,116,60,0.42314730908198045,0.49184823328202176,1.5836355398566093,1.408183167436694,-1.1190770107238317,-0.9903189552766534,0.55,31,1.0121934991155892,0.9317451037708312,2.3499085955644596,1.9084191540117643,-2.0700080777751824,-1.757708917342227,0.6129032258064516,29,0.1244073473270819,0.131305394463288,3.1027656991385184,2.8186356818232783,-2.432730352922999,-2.160013824088469,0.5517241379310345,0,,,,,,,,,,2.896551724137931,,WAIT_CONFIRM,WAIT_CONFIRM,False
"Overheated, avoid chasing",Defensive / wait for confirmation,103,0.017612859097127224,103,100,-0.24572131356346147,-0.4321150230545634,1.631190450661081,1.4236281217698377,-2.0530801715087446,-1.9454679439940947,0.46,96,0.8791565085714925,0.5879758929884016,3.585655142888633,2.3574062053971723,-2.9103255062837445,-2.675906787315563,0.6145833333333334,90,1.248289299294943,0.41015669422536094,4.639101748853973,3.036853639912873,-3.212401535680898,-2.88284302882843,0.5444444444444444,77,1.0459666337258031,-0.5297375391283388,6.146331400801049,4.40718343412132,-4.509149003413144,-4.593379045933787,0.42857142857142855,0.3508771929824561,4.357142857142857,2.933333333333333,5.51948051948052,AVOID,WAIT_CONFIRM,True
"Do not chase, wait mini-pullback","Setup candidate, wait for trigger",102,0.01744186046511628,102,69,0.42261553953544995,0.5253661642963259,1.680155808394396,1.5837104072398134,-0.8410975374549536,-0.7899785577248686,0.7101449275362319,32,1.5394256370653445,1.6267022201823524,3.08621593925416,2.5947857919187856,-1.839481755968117,-1.5951533433633591,0.71875,31,-0.17883705494893792,0.0065019505851804,3.4234670401142973,3.4559004176562214,-2.402043244966852,-2.2407987925229245,0.5161290322580645,0,,,,,,,,,,2.806451612903226,,WAIT_CONFIRM,WAIT_CONFIRM,False
"Good chart, R/R failed","Setup candidate, wait for trigger",93,0.015902872777017785,93,45,0.21547521384090754,0.3915426781519349,1.6204049561987874,1.4665444546287931,-0.7856508962320093,-0.5178365937859697,0.5777777777777777,23,0.9865522202868184,1.3946555945917094,2.9210140808542286,2.8770706190061057,-1.5308420233073203,-1.3210249880630245,0.6521739130434783,21,0.8909540396158396,1.9216437772809456,3.6513907662291802,3.7896000342950265,-1.9264199439457457,-1.3210249880630245,0.6190476190476191,0,,,,,,,,,,3.142857142857143,,WAIT_CONFIRM,WAIT_CONFIRM,False
"Momentum, R/R failed",Defensive / wait for confirmation,57,0.009746922024623803,57,55,0.3425114495541522,0.1671442215854801,1.4709644333987857,1.0887177009011095,-1.0857489896880381,-0.9074152842761918,0.6,52,0.42847935456432185,0.6656110262386106,2.837635266182988,2.5274970622262027,-2.311049266428827,-1.6783155822014506,0.5192307692307693,41,0.5515706009177813,0.8187807842384709,4.328329579150149,3.1865601637340424,-3.019653229877536,-1.6631510627940993,0.5121951219512195,28,3.335763406812183,3.141078484323012,6.365546195297638,5.8036385505938926,-2.8588197377827353,-2.0771302991634766,0.7857142857142857,0.5625,2.6363636363636362,2.4390243902439024,6.607142857142857,WAIT_CONFIRM,WAIT_CONFIRM,False
"Overheated, avoid chasing","Setup candidate, wait for trigger",47,0.008036935704514364,47,28,0.588396097756245,0.4781063004211772,1.801186400099004,1.6183767875083244,-1.0277896579103432,-0.9861202063492114,0.6428571428571429,12,1.6047233278391675,0.6149704007958223,4.991867793660072,2.7321588777424415,-3.076622341271175,-1.9034666167866088,0.5833333333333334,12,-1.0088012379536344,-1.4889895912481466,5.330686806335443,3.015934761627892,-3.600314467602702,-2.74621798077726,0.3333333333333333,0,,,,,,,,,,2.3333333333333335,,AVOID,WAIT_CONFIRM,True
"Do not chase, wait mini-pullback",Avoid,46,0.00786593707250342,46,46,-0.9196611875095286,-0.9166531469299077,1.0983578898651116,1.0468646579757657,-1.454184916387722,-1.1850395108862932,0.17391304347826086,43,-1.689011839940232,-1.9457547169811185,1.6198269884204857,1.2554718963403877,-3.214713150897419,-2.603198214949798,0.20930232558139536,37,-1.0023682119396005,-0.3187759005419233,1.8635964738547794,1.2554718963403877,-3.9323082152381117,-3.1043140835425698,0.43243243243243246,27,-0.8868266940346237,-0.5370201096892235,2.5644693276824664,1.895991332611047,-5.39124955439919,-3.64386792452831,0.48148148148148145,0.25,7.0,1.9189189189189189,5.555555555555555,WAIT_CONFIRM,AVOID,True
"Improving, not ready",Avoid,45,0.007694938440492476,45,43,0.4466492328900494,0.3249046475490846,1.6965876104646958,0.9263071222725516,-0.7948895264909411,-0.6921881621698156,0.6046511627906976,41,0.19252346265064962,-0.0510099979595946,3.2453538987533266,1.7375335499364208,-1.8332701587698779,-1.4390045983229682,0.4878048780487805,37,0.8259281632822766,0.6314580941446657,4.043343412624763,2.623120787973044,-1.9861671144982322,-1.7375071797817276,0.7027027027027027,28,1.4725495689558692,1.1953546952748084,5.3193765193434235,3.1391519143680435,-2.3815675980520488,-2.4083447176838693,0.8214285714285714,0.7272727272727273,2.5,2.4054054054054053,5.392857142857143,WAIT_CONFIRM,AVOID,True
"Do not chase, wait mini-pullback","Entry candidate, confirm R/R",44,0.007523939808481532,44,35,0.634868510673399,0.5072327634792373,1.859711273844533,1.513181227095406,-0.7373713122315517,-0.6088650754992653,0.7142857142857143,10,-0.4263489314566482,-0.25538427552599385,2.8270221685797847,2.128900138804335,-2.4319891992083766,-2.598135439010252,0.5,10,-0.2766314159512727,-0.690580587166445,3.133177714598021,2.360184358162687,-2.8541168776514425,-3.174758095181695,0.3,0,,,,,,,,,,2.6,,WAIT_CONFIRM,ENTRY,True
