candidate,split,selection,eligible_N,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,spearman_5d,spearman_10d,bootstrap_clusters,bootstrap_mean_ci_low,bootstrap_mean_ci_high
V4,calibration,ALL_ELIGIBLE,1176,1176,1176,0.5113582329753568,0.4170159332198109,2.067099105581801,1.624661528848148,-1.1181474332534935,-0.9085503795184413,0.5935374149659864,1176,1.4711519998675882,0.9552238805970116,4.266813270321972,2.9461756373937664,-2.1795814776487967,-1.6078979983723152,0.6113945578231292,1176,1.7635547937080402,1.1650147800382538,5.472021875250468,3.8018469934744665,-2.7264161857134,-2.0061983428625254,0.6343537414965986,1176,3.0679121200343835,2.2466039707419005,6.866105969423111,5.381017424048817,-3.1846269830518947,-2.435936012690809,0.7219387755102041,0.6875,3.8223844282238444,3.04421768707483,5.871598639455782,-0.15156819975233693,-0.03834800314789668,3,1.5993903756690449,2.1219439065000456
V4,calibration,TOP_10_PCT,1176,122,122,-0.015679923293203234,-0.2582024933493354,1.5938980044731688,1.4982525557586945,-1.6793152012634447,-1.261092947220921,0.45901639344262296,122,0.8232912874566125,0.6401795142555455,3.587536478401858,2.461721224920788,-2.7360134474578937,-2.243088158581119,0.5573770491803278,122,0.8448360259205769,0.9398018796037632,4.853815060412751,3.460054931132861,-3.492797440058727,-2.661800910904788,0.5901639344262295,122,3.904877058319794,3.2348828341577596,6.710273908782865,5.461010922021869,-3.856809353696201,-3.0339176028026382,0.7786885245901639,0.5849056603773585,4.925,2.918032786885246,6.516393442622951,-0.15156819975233693,-0.03834800314789668,3,0.013704970221385343,1.9285965457088916
V4,calibration,TOP_20_PCT,1176,237,237,-0.031232048814004452,-0.2660729800173844,1.5733834256800963,1.4434947768281026,-1.5384176182555696,-1.169076052796969,0.45569620253164556,237,0.29243062333521924,0.1721349955662088,3.266263699581828,2.4140625000000027,-2.769419232208638,-2.0875972165370404,0.510548523206751,237,0.32795257364807234,0.326617616722813,4.282750922352998,3.083865034201305,-3.4455946593735054,-2.379201680672272,0.5443037974683544,237,2.7271327958982416,2.0860602094240788,5.954888600815044,4.886502132845827,-3.891102044879822,-2.84913591779542,0.70042194092827,0.5360824742268041,4.938461538461539,2.827004219409283,6.177215189873418,-0.15156819975233693,-0.03834800314789668,3,-0.11936794476923507,0.9533576209819365
V4,holdout,ALL_ELIGIBLE,871,871,871,0.4104346326765814,0.1540832049306439,1.6338371041365616,1.000288544772543,-1.3405302932959675,-1.2704174228675202,0.5281285878300803,871,1.13033672065487,0.5904509823882798,3.071062251639032,2.1739130434782705,-2.017215109914607,-1.7587939698492372,0.6234213547646383,871,1.8653632383687702,1.602753195673534,4.155505966075233,3.376948239368871,-2.335333850718613,-2.022700814901046,0.6716417910447762,871,2.4878375430297934,1.6377649325626242,5.714232647621993,4.530070294194233,-3.0074138895148703,-2.623550945698594,0.6991963260619977,0.5960144927536232,4.849350649350649,3.490241102181401,6.388059701492537,0.003543807009889259,-0.03459038620643973,2,1.5976671768856179,2.541648025273575
V4,holdout,TOP_10_PCT,871,88,88,-0.08512044657444309,0.4338890157570274,1.2664307246532884,0.8393632416787478,-1.538291462711649,-1.1443445851359701,0.5909090909090909,88,1.0298589338459274,0.9109659676864944,2.5426382944774044,2.206067476782536,-2.147707136903812,-1.4585495902935564,0.6704545454545454,88,2.4269120279501504,2.2306209794435317,4.058249710495771,3.3553983108879137,-2.3346959615334204,-1.7770060195085868,0.8181818181818182,88,2.5745625277525686,2.8417761385647005,5.585355273320051,4.904300734870781,-3.0503659843807895,-2.5970286121970667,0.7954545454545454,0.625,5.425531914893617,4.159090909090909,6.545454545454546,0.003543807009889259,-0.03459038620643973,2,2.334821161105851,2.658981012397783
V4,holdout,TOP_20_PCT,871,176,176,0.08635917945431724,0.11648662092369474,1.4386734027923873,0.8306904334082543,-1.3251440517530677,-1.261581787897581,0.5170454545454546,176,0.9864302989499478,0.6598434934646846,2.628788650769563,2.0086738187628184,-1.940844535338131,-1.640471854622311,0.6534090909090909,176,2.064215265189654,1.834300887871665,3.9164291345241837,3.293667658308541,-2.2187441211058325,-1.918030196369175,0.7556818181818182,176,2.476476740547011,2.0495106505469263,5.305268148007749,4.418475236505293,-2.8054536511191626,-2.341057871870922,0.7215909090909091,0.6371681415929203,5.3604651162790695,3.784090909090909,6.693181818181818,0.003543807009889259,-0.03459038620643973,2,1.7265657994454293,2.9150919188651
V4,validation,ALL_ELIGIBLE,540,540,540,0.16643416983356216,-0.29838952895693827,2.1442769926891607,1.2375276881929742,-1.4022152749216223,-1.3726542216785376,0.4185185185185185,540,1.0853692966866266,0.24387111178543197,3.7765617012273527,2.2339362641715876,-2.119483126657191,-2.089530950099683,0.5333333333333333,540,1.8997602307089656,1.212742959230828,4.681773938618431,2.947102300239224,-2.4644150972296983,-2.378860964638385,0.674074074074074,540,2.0760853208510928,1.6276347636679511,6.18548745680029,4.5307740808509305,-3.0203203802995815,-2.8663084112034776,0.5925925925925926,0.5371428571428571,4.103448275862069,3.0481481481481483,6.007407407407407,-0.14204982876610708,-0.13333670684961643,1,,
V4,validation,TOP_10_PCT,540,56,56,0.43616826131100694,-0.0409760102351608,2.5269742129782164,1.3768383879946056,-0.8918257324535149,-0.8577716974237426,0.4642857142857143,56,0.4374801641802778,-0.5054351557315151,3.4677615386712355,2.5853407563655506,-1.763063920173108,-1.9205437186701368,0.4642857142857143,56,1.021220760447209,0.7526294768637087,3.8590365108951556,2.9813188611056307,-2.2737998591887085,-2.4338604431232698,0.5714285714285714,56,1.289747743112882,1.8405348618829254,5.103181595463582,4.713112413076203,-2.8542421170166463,-2.929951273467124,0.6071428571428571,0.6,3.9285714285714284,2.5357142857142856,6.214285714285714,-0.14204982876610708,-0.13333670684961643,1,,
V4,validation,TOP_20_PCT,540,110,110,0.22053566309533792,-0.2928556834434381,2.339832314777432,1.2838801711840375,-1.3410651365262936,-1.4062500000000089,0.36363636363636365,110,0.8080236662440781,-0.197808072707839,3.709129178122929,1.895991332611047,-2.130717567057027,-2.1420518602029315,0.4727272727272727,110,1.3173081883245497,0.4211956521739113,4.203468859056025,2.16473964047601,-2.613144292657796,-2.464819765563031,0.5818181818181818,110,1.435322583088432,1.289308176100623,5.522740845057369,4.346431435445064,-3.2594340570866662,-2.870981602281164,0.5636363636363636,0.55,4.32,2.581818181818182,5.927272727272728,-0.14204982876610708,-0.13333670684961643,1,,
V5_BASELINE,calibration,ALL_ELIGIBLE,1176,1176,1176,0.5113582329753568,0.4170159332198109,2.067099105581801,1.624661528848148,-1.1181474332534935,-0.9085503795184413,0.5935374149659864,1176,1.4711519998675882,0.9552238805970116,4.266813270321972,2.9461756373937664,-2.1795814776487967,-1.6078979983723152,0.6113945578231292,1176,1.7635547937080402,1.1650147800382538,5.472021875250468,3.8018469934744665,-2.7264161857134,-2.0061983428625254,0.6343537414965986,1176,3.0679121200343835,2.2466039707419005,6.866105969423111,5.381017424048817,-3.1846269830518947,-2.435936012690809,0.7219387755102041,0.6875,3.8223844282238444,3.04421768707483,5.871598639455782,-0.06015487696195692,0.03140993358331467,3,1.5993903756690449,2.1219439065000456
