from_value,to_value,count,percentage,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,from_decision_bucket,to_decision_bucket,true_decision_change
Distribution risk,Distribution risk,1415,0.24196306429548564,1415,1147,0.473407857792458,0.2303086135421406,2.068495531930197,1.5398758905998733,-1.0943181060521265,-0.8961480089614837,0.5649520488230165,978,1.1369559634483066,0.6249035642647671,3.736697091046269,2.496974044022049,-2.1253972502683567,-1.7112037824914883,0.5685071574642127,910,1.7022088953161738,0.8995293010712113,4.8607926140674955,3.655107778819122,-2.558609449073636,-2.16885923990795,0.6120879120879121,602,3.576248461446106,2.6283618581907087,7.409624103184978,5.602567843594963,-2.8904462467137497,-2.532121121045916,0.7325581395348837,0.71671388101983,4.1223776223776225,3.178021978021978,6.222591362126246,DANGER_AVOID,DANGER_AVOID,False
No trade,Clean bull pullback,659,0.11268809849521204,659,577,0.37469914211145877,0.2887082976903432,1.8362087208393971,1.5341968169000575,-1.194468460502815,-0.9899683210137232,0.5684575389948007,498,0.9173727199570201,0.6401795142555455,3.5014822979316063,2.5633880627284777,-2.1992281954687543,-1.7563864238641536,0.5863453815261044,453,1.5218726334109736,1.127364930758712,4.459804485039062,3.496042216358841,-2.634244140258834,-2.130681818181812,0.6158940397350994,292,4.145572912423111,3.0035263244218564,7.411734859825593,6.429800080052228,-3.016017942201888,-2.265500794912556,0.7602739726027398,0.6820512820512821,3.9025974025974026,3.116997792494481,6.5034246575342465,NO_TRADE,ENTRY_SETUP,True
Trend repair,Clean bull pullback,396,0.0677154582763338,396,349,0.5136883055245529,0.3927435945390023,1.9490089720204404,1.4255543822597527,-1.1890596360479304,-1.2231309256712677,0.5673352435530086,296,0.9829060045533428,0.41807618000107016,3.581674895354125,2.3689173896642712,-2.062006605090684,-2.0118781487064252,0.5540540540540541,276,1.6390117432670388,0.6873871202522919,4.935526833134762,3.0810395956532344,-2.4259030949225826,-2.1885702054794565,0.572463768115942,186,3.243128194577502,2.5640796242354935,7.069783489024768,5.061214186545482,-2.7811591530118545,-2.56588290618231,0.7688172043010753,0.7236842105263158,4.6440677966101696,3.0833333333333335,5.752688172043011,WAIT_MANAGE,ENTRY_SETUP,True
Filtered pullback,Clean bull pullback,320,0.05471956224350205,320,256,0.05668351723277634,-0.2015857210941607,1.551622182826702,1.2359254130057562,-1.3759932444399239,-1.169076052796969,0.46875,218,0.3192542615203155,-0.4517351020866811,3.174688125587793,1.6038953003758905,-2.3604305771509915,-2.343087362171325,0.4036697247706422,201,0.4472026969801345,-0.2153484729835675,4.109735163287181,2.3622047244094446,-2.9916308787395343,-2.816535790771624,0.47761194029850745,117,2.8166251906343005,2.0495106505469263,6.450567321041881,5.514135601701287,-3.4722676956634273,-2.990933996102463,0.717948717948718,0.6333333333333333,4.716981132075472,2.736318407960199,6.3931623931623935,WAIT_MANAGE,ENTRY_SETUP,True
Filtered pullback,Volatility contraction setup,280,0.047879616963064295,280,230,-0.0609815959012406,-0.03216792762789625,1.0884007279738606,0.9909909909909808,-1.2944960426786214,-0.9471191791633692,0.4652173913043478,187,0.6076939105037636,0.2076192987081393,2.489826260622477,1.803305668539723,-2.0314228319723133,-1.4570387829440756,0.5614973262032086,170,0.9756398122259855,1.2642191608301045,3.705144738005233,3.048647413543804,-2.3947307270251055,-1.583096671707801,0.6588235294117647,101,2.3260681580787,2.307884577998731,5.733484198615196,5.412054120541199,-2.9627616370764454,-1.806893598801118,0.7326732673267327,0.5892857142857143,4.657894736842105,3.3176470588235296,6.801980198019802,WAIT_MANAGE,ENTRY_SETUP,True
Extended momentum,Clean bull pullback,258,0.04411764705882353,258,242,-0.004764257658209468,-0.0678462874511454,1.5614468528917802,1.293819389806794,-1.4911875108078614,-1.201106558812204,0.47520661157024796,223,0.5423380638771994,0.2586652871184647,3.1328216621617124,2.081134067259826,-2.4904690255567283,-2.115309190743886,0.5560538116591929,214,0.6137473071509347,0.4376894302398626,3.9305199469875727,2.650844170816391,-2.9468574916687174,-2.5222900046926178,0.5654205607476636,142,2.083708633540511,2.376775094013439,5.678093522757579,4.253905447521699,-3.56743347860812,-3.079768824625873,0.6126760563380281,0.5568181818181818,4.2075471698113205,2.8598130841121496,5.246478873239437,WAIT_MANAGE,ENTRY_SETUP,True
Momentum continuation,Clean bull pullback,235,0.04018467852257182,235,200,-0.06381621045064892,-0.42574377268186914,1.5785236018418334,1.282730214769057,-1.8135532830060643,-1.4851083206127325,0.445,176,-0.3100378214612688,-0.6295969402765444,2.6052533225954253,1.7377813153793609,-3.2334700080669663,-2.6125754488289297,0.4375,170,-0.06951671739599005,-0.2841918294848922,3.149656014305459,2.4421586039439447,-3.4447195927344914,-2.910618792971731,0.4647058823529412,101,-0.02898752599643216,-0.3348588012054843,4.163183771022062,3.364120542034632,-4.576321831976512,-4.244040901473955,0.48514851485148514,0.2619047619047619,5.944444444444445,3.052941176470588,5.841584158415841,WAIT_MANAGE,ENTRY_SETUP,True
No trade,No trade,233,0.03984268125854993,233,187,0.10678090579657312,0.2108116247553138,1.6503423604440262,1.1618664671778631,-1.2167803140830205,-0.8316430020283927,0.5668449197860963,156,1.132747017998857,0.12724983211422894,3.6294769774773137,2.239291758885553,-1.9619833112246938,-1.4977829471983006,0.5384615384615384,137,1.3432453290849522,0.9256677633413312,4.274115052796205,2.8014616321558883,-2.3195561313250455,-2.0502690552414604,0.635036496350365,80,2.0774985467389073,0.285632676378178,6.239456614759142,4.065037914902748,-2.8258903968569724,-2.0502690552414604,0.55,0.47368421052631576,3.2580645161290325,3.0948905109489053,5.975,NO_TRADE,NO_TRADE,False
No trade,Volatility contraction setup,232,0.03967168262653899,232,208,-0.05074642492783402,0.134559700221426,1.6303009060820317,1.5425064738958327,-1.1295381188142648,-0.8376463061114947,0.5528846153846154,176,0.4675190919198122,0.48053873163707017,2.9635337056679645,2.310296753634722,-2.067144625123476,-1.511423016162344,0.5454545454545454,161,1.037272135540731,1.2953367875647714,4.020389249738255,3.62694300518136,-2.5616552442841187,-1.6419159171721431,0.5962732919254659,106,3.2184484317880235,3.1132262542137523,6.533426090554318,6.087257617728525,-3.0535650090304007,-1.9241760335302005,0.7547169811320755,0.7894736842105263,4.531914893617022,3.1180124223602483,6.056603773584905,NO_TRADE,ENTRY_SETUP,True
Trend repair,Trend repair,175,0.029924760601915186,175,148,-0.12486803485880003,-0.2987506789788097,1.40263018537828,1.0581074581649474,-1.45782041244941,-1.469842878864669,0.3918918918918919,129,0.9139689051833485,0.6289112363398575,3.1946372209607965,2.1496598639455744,-2.199453180997474,-1.9079837618403368,0.5271317829457365,121,2.3227085697956977,1.7413817562774936,5.09502749941367,3.454623697045056,-2.2804992437190643,-1.9328982834444508,0.7024793388429752,95,2.0978907588315767,1.195457262402866,6.322873767933005,5.086336668732838,-2.4409114739240945,-2.3239099185433654,0.6421052631578947,0.45614035087719296,3.7,3.553719008264463,5.778947368421052,WAIT_MANAGE,WAIT_MANAGE,False
