danger_state,study_kind,variant,cohort,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,mean_candidate_TCS,top20_admitted_N
Climax reversal risk,LABEL_VALIDITY,LABEL,DANGER,15,3,1.1181388040691502,0.0433804191632969,3.325582525118209,2.133774367594832,-2.06124388856164,-1.8978933383943848,0.6666666666666666,3,0.8226379161191103,2.076837567443013,4.037858409242438,4.012688772605277,-2.840720653583739,-1.8978933383943848,0.6666666666666666,3,2.7108636125823,3.858146029336007,4.171614701662615,4.413957649865807,-2.8596351600146726,-1.8978933383943848,0.6666666666666666,3,-1.449344341619163,-0.6534175636471962,4.272835679710315,4.717620584008908,-3.144319160773826,-2.7519453406718464,0.3333333333333333,1.0,1.0,3.0,3.3333333333333335,,
Climax reversal risk,LABEL_VALIDITY,LABEL,MATCHED_NON_DANGER,15,15,-1.514471016927985,-2.034375733548943,1.7430001170330187,1.9743877311494185,-1.8682594819016876,-2.0787146918442523,0.13333333333333333,15,-2.6855367693859535,-3.5784147518322484,1.7674711360128668,1.9743877311494185,-3.6211704482467866,-4.045277900941569,0.06666666666666667,15,-5.1201498778960906,-6.348295558279659,1.781637448521722,1.9743877311494185,-5.4494728730008095,-6.379593646488102,0.0,3,-0.7702178099045979,-0.3787878787878784,2.095594559954509,2.4104683195592225,-5.995699650339174,-6.215610352557565,0.3333333333333333,0.0,,1.4,4.0,,
Distribution risk,LABEL_VALIDITY,LABEL,DANGER,1415,1147,0.473407857792458,0.2303086135421406,2.068495531930197,1.5398758905998733,-1.0943181060521265,-0.8961480089614837,0.5649520488230165,978,1.1369559634483066,0.6249035642647671,3.736697091046269,2.496974044022049,-2.1253972502683567,-1.7112037824914883,0.5685071574642127,910,1.7022088953161738,0.8995293010712113,4.8607926140674955,3.655107778819122,-2.558609449073636,-2.16885923990795,0.6120879120879121,602,3.576248461446106,2.6283618581907087,7.409624103184978,5.602567843594963,-2.8904462467137497,-2.532121121045916,0.7325581395348837,0.71671388101983,4.1223776223776225,3.178021978021978,6.222591362126246,,
Distribution risk,LABEL_VALIDITY,LABEL,MATCHED_NON_DANGER,1415,1212,0.33936389830790586,0.2603448803944808,1.7914180750388191,1.4524608210081946,-1.2310905740793534,-1.0382375284882397,0.5577557755775577,1041,0.6360886313228937,0.659460938568901,3.2383357282996843,2.4013174064788867,-2.1027651623877355,-1.680458666365403,0.5802113352545629,975,1.0488114907766213,0.9193054136874546,4.065355538321711,3.038835467247525,-2.5368460558204697,-2.0852040307293263,0.6061538461538462,585,2.9177979077976284,2.2603819870334663,6.411847738987564,5.172413793103448,-3.099642405622317,-2.416970961571907,0.6991452991452991,0.6306818181818182,4.698039215686275,3.0523076923076924,6.694017094017094,,
Failed breakout,LABEL_VALIDITY,LABEL,DANGER,513,465,0.17774824080279433,0.0241080038573038,1.6043612574280424,1.2277624655474773,-1.0463082177620053,-0.9727626459143934,0.5032258064516129,423,0.6433977812096037,0.2342704149933094,2.9779447028475294,2.027551416375628,-1.9667319744972682,-1.6079965232507654,0.5366430260047281,383,1.362929416309062,0.8701472556894352,3.9205837950111198,2.9127829560585905,-2.402599661540018,-2.042270244597477,0.6370757180156658,304,1.9680098774366481,1.5277633520097256,5.062371340607625,3.7991251103286827,-2.8496881809142574,-2.5175360285677906,0.6743421052631579,0.5921052631578947,4.372549019607843,2.989556135770235,5.875,,
Failed breakout,LABEL_VALIDITY,LABEL,MATCHED_NON_DANGER,513,476,0.13383045689953296,-0.0196972255050886,1.7524968661387124,1.2509064539521386,-1.346379770612971,-1.2466116997447874,0.4957983193277311,456,0.4680641764185318,0.3719684570748338,3.162638314688768,2.266205547046485,-2.35593741794104,-2.0696345801444416,0.5285087719298246,426,0.8845435991678483,0.744666596796828,3.8751914147534525,2.51822286422948,-3.0095177048424886,-2.532260426284727,0.5892018779342723,305,2.30769831873655,1.4909169863212002,6.374028308316005,4.828039224886216,-3.606299299959948,-3.250803250803247,0.6426229508196721,0.4887640449438202,4.831932773109243,3.004694835680751,5.865573770491803,,
Failed breakout,CAP_CALIBRATION,CURRENT_CAP,ALL_DANGER_ROWS,513,465,0.17774824080279433,0.0241080038573038,1.6043612574280424,1.2277624655474773,-1.0463082177620053,-0.9727626459143934,0.5032258064516129,423,0.6433977812096037,0.2342704149933094,2.9779447028475294,2.027551416375628,-1.9667319744972682,-1.6079965232507654,0.5366430260047281,383,1.362929416309062,0.8701472556894352,3.9205837950111198,2.9127829560585905,-2.402599661540018,-2.042270244597477,0.6370757180156658,304,1.9680098774366481,1.5277633520097256,5.062371340607625,3.7991251103286827,-2.8496881809142574,-2.5175360285677906,0.6743421052631579,0.5921052631578947,4.372549019607843,2.989556135770235,5.875,4.807745224171541,0.0
Distribution risk,CAP_CALIBRATION,CURRENT_CAP,ALL_DANGER_ROWS,1415,1147,0.473407857792458,0.2303086135421406,2.068495531930197,1.5398758905998733,-1.0943181060521265,-0.8961480089614837,0.5649520488230165,978,1.1369559634483066,0.6249035642647671,3.736697091046269,2.496974044022049,-2.1253972502683567,-1.7112037824914883,0.5685071574642127,910,1.7022088953161738,0.8995293010712113,4.8607926140674955,3.655107778819122,-2.558609449073636,-2.16885923990795,0.6120879120879121,602,3.576248461446106,2.6283618581907087,7.409624103184978,5.602567843594963,-2.8904462467137497,-2.532121121045916,0.7325581395348837,0.71671388101983,4.1223776223776225,3.178021978021978,6.222591362126246,5.4492753356890455,7.0
Climax reversal risk,CAP_CALIBRATION,CURRENT_CAP,ALL_DANGER_ROWS,15,3,1.1181388040691502,0.0433804191632969,3.325582525118209,2.133774367594832,-2.06124388856164,-1.8978933383943848,0.6666666666666666,3,0.8226379161191103,2.076837567443013,4.037858409242438,4.012688772605277,-2.840720653583739,-1.8978933383943848,0.6666666666666666,3,2.7108636125823,3.858146029336007,4.171614701662615,4.413957649865807,-2.8596351600146726,-1.8978933383943848,0.6666666666666666,3,-1.449344341619163,-0.6534175636471962,4.272835679710315,4.717620584008908,-3.144319160773826,-2.7519453406718464,0.3333333333333333,1.0,1.0,3.0,3.3333333333333335,6.342293333333333,1.0
Blowoff top,CAP_CALIBRATION,CURRENT_CAP,ALL_DANGER_ROWS,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,0.0
Late-stage extension,CAP_CALIBRATION,CURRENT_CAP,ALL_DANGER_ROWS,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,0.0
Failed breakout,CAP_CALIBRATION,HALF_CAP,ALL_DANGER_ROWS,513,465,0.17774824080279433,0.0241080038573038,1.6043612574280424,1.2277624655474773,-1.0463082177620053,-0.9727626459143934,0.5032258064516129,423,0.6433977812096037,0.2342704149933094,2.9779447028475294,2.027551416375628,-1.9667319744972682,-1.6079965232507654,0.5366430260047281,383,1.362929416309062,0.8701472556894352,3.9205837950111198,2.9127829560585905,-2.402599661540018,-2.042270244597477,0.6370757180156658,304,1.9680098774366481,1.5277633520097256,5.062371340607625,3.7991251103286827,-2.8496881809142574,-2.5175360285677906,0.6743421052631579,0.5921052631578947,4.372549019607843,2.989556135770235,5.875,6.052291617933723,2.0
Distribution risk,CAP_CALIBRATION,HALF_CAP,ALL_DANGER_ROWS,1415,1147,0.473407857792458,0.2303086135421406,2.068495531930197,1.5398758905998733,-1.0943181060521265,-0.8961480089614837,0.5649520488230165,978,1.1369559634483066,0.6249035642647671,3.736697091046269,2.496974044022049,-2.1253972502683567,-1.7112037824914883,0.5685071574642127,910,1.7022088953161738,0.8995293010712113,4.8607926140674955,3.655107778819122,-2.558609449073636,-2.16885923990795,0.6120879120879121,602,3.576248461446106,2.6283618581907087,7.409624103184978,5.602567843594963,-2.8904462467137497,-2.532121121045916,0.7325581395348837,0.71671388101983,4.1223776223776225,3.178021978021978,6.222591362126246,6.435395406360425,49.0
Climax reversal risk,CAP_CALIBRATION,HALF_CAP,ALL_DANGER_ROWS,15,3,1.1181388040691502,0.0433804191632969,3.325582525118209,2.133774367594832,-2.06124388856164,-1.8978933383943848,0.6666666666666666,3,0.8226379161191103,2.076837567443013,4.037858409242438,4.012688772605277,-2.840720653583739,-1.8978933383943848,0.6666666666666666,3,2.7108636125823,3.858146029336007,4.171614701662615,4.413957649865807,-2.8596351600146726,-1.8978933383943848,0.6666666666666666,3,-1.449344341619163,-0.6534175636471962,4.272835679710315,4.717620584008908,-3.144319160773826,-2.7519453406718464,0.3333333333333333,1.0,1.0,3.0,3.3333333333333335,6.3546933333333335,1.0
Blowoff top,CAP_CALIBRATION,HALF_CAP,ALL_DANGER_ROWS,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,0.0
Late-stage extension,CAP_CALIBRATION,HALF_CAP,ALL_DANGER_ROWS,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,0.0
Failed breakout,CAP_CALIBRATION,LABEL_ONLY,ALL_DANGER_ROWS,513,465,0.17774824080279433,0.0241080038573038,1.6043612574280424,1.2277624655474773,-1.0463082177620053,-0.9727626459143934,0.5032258064516129,423,0.6433977812096037,0.2342704149933094,2.9779447028475294,2.027551416375628,-1.9667319744972682,-1.6079965232507654,0.5366430260047281,383,1.362929416309062,0.8701472556894352,3.9205837950111198,2.9127829560585905,-2.402599661540018,-2.042270244597477,0.6370757180156658,304,1.9680098774366481,1.5277633520097256,5.062371340607625,3.7991251103286827,-2.8496881809142574,-2.5175360285677906,0.6743421052631579,0.5921052631578947,4.372549019607843,2.989556135770235,5.875,6.093703313840156,3.0
Distribution risk,CAP_CALIBRATION,LABEL_ONLY,ALL_DANGER_ROWS,1415,1147,0.473407857792458,0.2303086135421406,2.068495531930197,1.5398758905998733,-1.0943181060521265,-0.8961480089614837,0.5649520488230165,978,1.1369559634483066,0.6249035642647671,3.736697091046269,2.496974044022049,-2.1253972502683567,-1.7112037824914883,0.5685071574642127,910,1.7022088953161738,0.8995293010712113,4.8607926140674955,3.655107778819122,-2.558609449073636,-2.16885923990795,0.6120879120879121,602,3.576248461446106,2.6283618581907087,7.409624103184978,5.602567843594963,-2.8904462467137497,-2.532121121045916,0.7325581395348837,0.71671388101983,4.1223776223776225,3.178021978021978,6.222591362126246,6.549308763250883,129.0
Climax reversal risk,CAP_CALIBRATION,LABEL_ONLY,ALL_DANGER_ROWS,15,3,1.1181388040691502,0.0433804191632969,3.325582525118209,2.133774367594832,-2.06124388856164,-1.8978933383943848,0.6666666666666666,3,0.8226379161191103,2.076837567443013,4.037858409242438,4.012688772605277,-2.840720653583739,-1.8978933383943848,0.6666666666666666,3,2.7108636125823,3.858146029336007,4.171614701662615,4.413957649865807,-2.8596351600146726,-1.8978933383943848,0.6666666666666666,3,-1.449344341619163,-0.6534175636471962,4.272835679710315,4.717620584008908,-3.144319160773826,-2.7519453406718464,0.3333333333333333,1.0,1.0,3.0,3.3333333333333335,6.3546933333333335,1.0
Blowoff top,CAP_CALIBRATION,LABEL_ONLY,ALL_DANGER_ROWS,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,0.0
Late-stage extension,CAP_CALIBRATION,LABEL_ONLY,ALL_DANGER_ROWS,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,0.0
Failed breakout,CAP_CALIBRATION,NO_CAP,ALL_DANGER_ROWS,513,465,0.17774824080279433,0.0241080038573038,1.6043612574280424,1.2277624655474773,-1.0463082177620053,-0.9727626459143934,0.5032258064516129,423,0.6433977812096037,0.2342704149933094,2.9779447028475294,2.027551416375628,-1.9667319744972682,-1.6079965232507654,0.5366430260047281,383,1.362929416309062,0.8701472556894352,3.9205837950111198,2.9127829560585905,-2.402599661540018,-2.042270244597477,0.6370757180156658,304,1.9680098774366481,1.5277633520097256,5.062371340607625,3.7991251103286827,-2.8496881809142574,-2.5175360285677906,0.6743421052631579,0.5921052631578947,4.372549019607843,2.989556135770235,5.875,6.093703313840156,3.0
Distribution risk,CAP_CALIBRATION,NO_CAP,ALL_DANGER_ROWS,1415,1147,0.473407857792458,0.2303086135421406,2.068495531930197,1.5398758905998733,-1.0943181060521265,-0.8961480089614837,0.5649520488230165,978,1.1369559634483066,0.6249035642647671,3.736697091046269,2.496974044022049,-2.1253972502683567,-1.7112037824914883,0.5685071574642127,910,1.7022088953161738,0.8995293010712113,4.8607926140674955,3.655107778819122,-2.558609449073636,-2.16885923990795,0.6120879120879121,602,3.576248461446106,2.6283618581907087,7.409624103184978,5.602567843594963,-2.8904462467137497,-2.532121121045916,0.7325581395348837,0.71671388101983,4.1223776223776225,3.178021978021978,6.222591362126246,6.549308763250883,129.0
Climax reversal risk,CAP_CALIBRATION,NO_CAP,ALL_DANGER_ROWS,15,3,1.1181388040691502,0.0433804191632969,3.325582525118209,2.133774367594832,-2.06124388856164,-1.8978933383943848,0.6666666666666666,3,0.8226379161191103,2.076837567443013,4.037858409242438,4.012688772605277,-2.840720653583739,-1.8978933383943848,0.6666666666666666,3,2.7108636125823,3.858146029336007,4.171614701662615,4.413957649865807,-2.8596351600146726,-1.8978933383943848,0.6666666666666666,3,-1.449344341619163,-0.6534175636471962,4.272835679710315,4.717620584008908,-3.144319160773826,-2.7519453406718464,0.3333333333333333,1.0,1.0,3.0,3.3333333333333335,6.3546933333333335,1.0
Blowoff top,CAP_CALIBRATION,NO_CAP,ALL_DANGER_ROWS,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,0.0
Late-stage extension,CAP_CALIBRATION,NO_CAP,ALL_DANGER_ROWS,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,0.0
