direction,score_delta,run_id,ticker,decision_date,v4_engine_version,technical_engine_version,v5_config_hash,input_signature,v4_score,v4_classification,v4_action,v5_TS,v5_SQ,v5_EQ,v5_TCS,v5_confidence_adjusted,v5_classification,v5_action,setup_type,market_regime,sector,sector_benchmark_symbol,stage,stage_modifier,technical_confidence,data_quality_score,trend_quality,momentum_quality,leadership_quality,residual_momentum_score,trigger_quality,trigger_state,trigger_distance_atr,base_risk,climax_risk,combined_risk,risk_control,execution_quality,stop_distance_atr,reward_risk,target_source,danger_state,danger_cap,warning_flags,missing_evidence,explainability_reasons,liquidity_bucket,atr_percentile_bucket,close_1d,close_3d,close_5d,close_10d,max_high_5d,min_low_5d,max_high_10d,min_low_10d,forward_return_5d,forward_return_10d,MFE_5d,MAE_5d,MFE_10d,MAE_10d,target_hit_5d,stop_hit_5d,target_hit_10d,stop_hit_10d,first_hit_5d,first_hit_10d,time_to_target,time_to_stop,outcome_price_basis,stop_target_outcome_status,reconstruction_status,reconstruction_reason
V5_HIGHER,0.9278000000000004,122,LFST,2026-08-20,4.0.0,5.0.0,ad813416d238476c98b2f03c94175396247be7a9c1a6bf5a65ae095018672ae4,64016ff4322b21c9b833e1fd958be883780a8069688eaa6cef3a947f28c04ea9,6.9937,Overheated momentum,"Overheated, avoid chasing",8.6786,7.9038,7.0588,7.9215,7.9215,Extended momentum,"Entry candidate, confirm R/R",extended_momentum,Choppy,Health Care,XLV,Stage 2,0.25,high,10.0,9.25,7.5742,8.8686,10.0,9.0,at_trigger,0.0398,3.9,1.25,4.15,5.85,7.7794,0.5586,2.6857,ATR_TARGET,,,,,base_extended_momentum,NORMAL,50-75,12.47,,,,,,,,,,,,,,,,,,,,,,FINAL_ADJUSTED_SERIES,UNAVAILABLE_PRICE_BASIS_CHANGED,REVISION_HISTORY_RECONCILED,stored_features_reconciled
V5_HIGHER,0.8634000000000004,72,CLBK,2026-07-17,4.0.0,5.0.0,ad813416d238476c98b2f03c94175396247be7a9c1a6bf5a65ae095018672ae4,95c4633b3d3b3c9b9c5c6667c802068d6154ff75b971f624080b113764f2ed9a,5.6879,Momentum continuation,Watch / trail / smaller size,9.2733,8.9318,4.0,6.5513,5.7757,Climax reversal risk,Avoid,momentum_continuation,Distribution,Financial Services,,Stage 2,0.25,low,10.0,9.85,8.2866,9.2519,10.0,3.0,extended_beyond_trigger,-2.376,1.8,7.25,7.61,2.39,7.4589,1.8249,0.8219,ATR_TARGET,Climax reversal risk,4.0,climax_reversal_risk|market_risk_off|sector_benchmark_unsupported_sector,,base_momentum_continuation,NORMAL,50-75,,,,,,,,,,,,,,,,,,,,,,,FINAL_ADJUSTED_SERIES,AVAILABLE,CURRENT_SERIES_RECONCILED,stored_features_reconciled
V5_HIGHER,0.8618000000000006,75,CLBK,2026-07-17,4.0.0,5.0.0,ad813416d238476c98b2f03c94175396247be7a9c1a6bf5a65ae095018672ae4,0cd9649a9bdf5b0e1343d8818aeb81aefe8bc10915d61c0a3f835e3b30e46bd8,5.6911,Momentum continuation,Watch / trail / smaller size,9.2796,8.9318,4.0,6.5529,5.7765,Climax reversal risk,Avoid,momentum_continuation,Distribution,Financial Services,,Stage 2,0.25,low,10.0,9.85,8.2866,9.2865,10.0,3.0,extended_beyond_trigger,-2.376,1.8,7.25,7.61,2.39,7.4589,1.8249,0.8219,ATR_TARGET,Climax reversal risk,4.0,climax_reversal_risk|market_risk_off|sector_benchmark_unsupported_sector,,base_momentum_continuation,NORMAL,50-75,,,,,,,,,,,,,,,,,,,,,,,FINAL_ADJUSTED_SERIES,AVAILABLE,CURRENT_SERIES_RECONCILED,stored_features_reconciled
V5_HIGHER,0.8618000000000006,76,CLBK,2026-07-17,4.0.0,5.0.0,ad813416d238476c98b2f03c94175396247be7a9c1a6bf5a65ae095018672ae4,0cd9649a9bdf5b0e1343d8818aeb81aefe8bc10915d61c0a3f835e3b30e46bd8,5.6911,Momentum continuation,Watch / trail / smaller size,9.2796,8.9318,4.0,6.5529,5.7765,Climax reversal risk,Avoid,momentum_continuation,Distribution,Financial Services,,Stage 2,0.25,low,10.0,9.85,8.2866,9.2865,10.0,3.0,extended_beyond_trigger,-2.376,1.8,7.25,7.61,2.39,7.4589,1.8249,0.8219,ATR_TARGET,Climax reversal risk,4.0,climax_reversal_risk|market_risk_off|sector_benchmark_unsupported_sector,,base_momentum_continuation,NORMAL,50-75,,,,,,,,,,,,,,,,,,,,,,,FINAL_ADJUSTED_SERIES,AVAILABLE,CURRENT_SERIES_RECONCILED,stored_features_reconciled
V5_HIGHER,0.8437000000000001,124,EXPD,2026-08-21,4.0.0,5.0.0,ad813416d238476c98b2f03c94175396247be7a9c1a6bf5a65ae095018672ae4,00a3493a8028d9c5ab62054465f4a7240e67c6617361580c34e20eaa77541324,7.4445,Momentum continuation,Watch / trail / smaller size,8.1342,8.8544,7.6441,8.2882,8.2882,Momentum continuation,"Entry candidate, confirm R/R",momentum_continuation,Bull trend,Industrials,XLI,Stage 2,0.25,high,10.0,9.25,8.0463,5.0575,7.6081,7.0,beyond_trigger,-0.7196,2.4,0.0,2.4,7.6,8.1469,0.9565,1.5682,ATR_TARGET,,,,,base_momentum_continuation,NORMAL,50-75,,,,,,,,,,,,,,,,,,,,,,,FINAL_ADJUSTED_SERIES,AVAILABLE,CURRENT_SERIES_RECONCILED,stored_features_reconciled
V5_HIGHER,0.8330000000000002,121,CVX,2026-08-20,4.0.0,5.0.0,ad813416d238476c98b2f03c94175396247be7a9c1a6bf5a65ae095018672ae4,909d36aa4cceb8200843a314afe2de7f111b1147b7af27c4cc3f422ca7f6501c,7.006,Overheated momentum,"Overheated, avoid chasing",7.6878,7.8096,8.0496,7.839,7.839,Extended momentum,"Entry candidate, confirm R/R",extended_momentum,Choppy,Energy,XLE,Unknown,-0.1,high,10.0,8.125,7.8251,6.196,7.9111,10.0,freshly_triggered,-0.0415,1.7,2.25,2.59,7.41,7.8154,0.5366,2.7957,ATR_TARGET,,,,,base_extended_momentum,NORMAL,50-75,205.27,,,,,,,,,,,,,,,,,,,,,,FINAL_ADJUSTED_SERIES,UNAVAILABLE_PRICE_BASIS_CHANGED,REVISION_HISTORY_RECONCILED,stored_features_reconciled
V5_HIGHER,0.8251000000000008,124,KMX,2026-08-21,4.0.0,5.0.0,ad813416d238476c98b2f03c94175396247be7a9c1a6bf5a65ae095018672ae4,d81b36723af1a9ed06a0182112a611aef6b213077caec36cbfe23a2a05bcc910,7.7509,Momentum continuation,Watch / trail / smaller size,8.5504,8.789,8.2609,8.576,8.576,Momentum continuation,"Entry candidate, confirm R/R",momentum_continuation,Bull trend,Consumer Cyclical,,Stage 2,0.25,high,10.0,9.625,7.7046,6.8559,9.5973,7.0,beyond_trigger,-1.1947,1.0,0.0,1.0,9.0,7.8698,0.8147,1.8412,ATR_TARGET,,,sector_benchmark_unsupported_sector,,base_momentum_continuation,NORMAL,0-25,,,,,,,,,,,,,,,,,,,,,,,FINAL_ADJUSTED_SERIES,AVAILABLE,CURRENT_SERIES_RECONCILED,stored_features_reconciled
V5_HIGHER,0.8068999999999997,122,CVX,2026-08-20,4.0.0,5.0.0,ad813416d238476c98b2f03c94175396247be7a9c1a6bf5a65ae095018672ae4,6ba8474a92d5e3b34ae1f33c88b76e7f06eb20f67585a3ba0de1bc417801993b,6.9116,Overheated momentum,"Overheated, avoid chasing",7.3436,7.8096,8.0496,7.7185,7.7185,Extended momentum,"Entry candidate, confirm R/R",extended_momentum,Choppy,Energy,XLE,Unknown,-0.1,high,10.0,8.125,7.8251,4.2835,7.9111,10.0,freshly_triggered,-0.0415,1.7,2.25,2.59,7.41,7.8154,0.5366,2.7957,ATR_TARGET,,,,,base_extended_momentum,NORMAL,50-75,205.27,,,,,,,,,,,,,,,,,,,,,,FINAL_ADJUSTED_SERIES,UNAVAILABLE_PRICE_BASIS_CHANGED,REVISION_HISTORY_RECONCILED,stored_features_reconciled
V5_HIGHER,0.8006000000000002,122,ECO,2026-08-20,4.0.0,5.0.0,ad813416d238476c98b2f03c94175396247be7a9c1a6bf5a65ae095018672ae4,a1f6bab0f1c967a1e5b7de3809005daf34cedebf8cf1c60cc590a6738fe68ebe,7.2596,Extended momentum,"Do not chase, wait mini-pullback",8.127,8.1073,7.9273,8.0602,8.0602,Extended momentum,"Entry candidate, confirm R/R",extended_momentum,Choppy,Industrials,XLI,Stage 2,0.25,high,10.0,8.875,7.717,6.6494,8.8631,9.0,at_trigger,0.2484,2.4,0.0,2.4,7.6,7.7578,0.724,2.0717,ATR_TARGET,,,,,base_extended_momentum,NORMAL,50-75,64.71,,,,,,,,,,,,,,,,,,,,,,FINAL_ADJUSTED_SERIES,AVAILABLE,CURRENT_SERIES_RECONCILED,stored_features_reconciled
V5_HIGHER,0.7934999999999999,95,FTV,2026-08-10,4.0.0,5.0.0,ad813416d238476c98b2f03c94175396247be7a9c1a6bf5a65ae095018672ae4,d5f8fe15bc6c053262b662e6cbf0a8b5fd8daa2b7ff64bea66f7c1bed3f79e24,5.7766,No trade,No clear trade,4.6703,8.1281,8.1184,6.5701,6.5701,Clean bull pullback,"Setup candidate, wait for trigger",pullback,Bull trend,Technology,XLK,Stage 2,0.25,high,10.0,6.55,3.7267,0.8129,4.5392,10.0,freshly_triggered,-0.4323,1.7,0.0,1.7,8.3,6.5614,2.8888,0.5192,ATR_TARGET,,,,,qualified_support_holding_pullback,NORMAL,50-75,61.68,61.81,,,,,,,,,,,,,,,,,,,,,FINAL_ADJUSTED_SERIES,AVAILABLE,CURRENT_SERIES_RECONCILED,stored_features_reconciled
