run_id,subset_fraction,N,mean_abs_leadership_delta,mean_abs_TCS_delta,mean_abs_rank_delta,classification_delta_rate,action_delta_rate
77,0.75,3190,0.05958112852664577,0.0026805642633228773,0.0004785723410736926,0.0,0.0
77,0.9,3830,0.028361984334203654,0.0012754046997389141,0.00021474002822297544,0.0,0.0
78,0.75,3400,0.04621438235294118,0.0020795294117647084,0.0004005190311418683,0.0,0.0
78,0.9,4080,0.03286497549019607,0.001478210784313732,0.0002456987697039599,0.0,0.0
82,0.75,3510,0.06737746438746438,0.0030327920227920272,0.0003823020917038014,0.0,0.0
82,0.9,4220,0.026933507109004735,0.0012113981042654067,0.00021843624357044977,0.0,0.0
83,0.75,3510,0.06348706552706551,0.002857407407407416,0.0003774320013636252,0.0,0.0
83,0.9,4220,0.022962180094786733,0.0010329383886255948,0.00019934412973652866,0.0,0.0
85,0.75,3180,0.05876981132075471,0.002645597484276724,0.0006407974368102527,0.0,0.0
85,0.9,3820,0.025986282722513094,0.0011692670157068146,0.00038170554535237495,0.0,0.0
87,0.75,3240,0.0521371913580247,0.0023459876543209936,0.0005077351013565005,0.0,0.0
87,0.9,3880,0.025852293814432985,0.001161881443298965,0.00027035285365076007,0.0,0.0
91,0.75,3240,0.07949919753086421,0.003577777777777783,0.0005525072397500381,0.0,0.0
91,0.9,3880,0.032079742268041236,0.001443917525773204,0.00029758741630353877,0.0,0.0
93,0.75,3240,0.05213861111111112,0.002346388888888893,0.00048392013412589565,0.0,0.0
93,0.9,3880,0.02767193298969072,0.0012454381443298978,0.00030755128068870203,0.0,0.0
