score,quantile,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength
v4,1,576,369,266,2.2473378834688345,1.693285,5.388796444698436,3.4633714135338343,2.619328,5.761623524727759,5.568224680216801,4.343761,-2.7560993170731707,-2.060941,7.719346733082706,5.751528,-2.978855251879699,-2.32391,0.6368563685636857,0.7556390977443609,0.445993031358885,0.18118466898954705,0.5951219512195122,0.17560975609756097,2.020328021462578,USEFUL_BUT_NOISY
v4,2,585,415,295,1.8158033759036145,1.36713,4.668874471581879,2.9852017220338984,2.463081,4.927931008107485,4.875828677108433,3.477933,-2.361222539759036,-2.198629,6.974225274576271,5.810928,-2.792330020338983,-2.552903,0.655421686746988,0.7220338983050848,0.39009287925696595,0.2043343653250774,0.6545454545454545,0.2545454545454545,2.0649593992127544,USEFUL_BUT_NOISY
v4,3,585,402,286,1.3697066592039802,0.645457,4.461543004688431,2.5799993916083914,1.7822399999999998,5.36876534425665,4.367508047263682,3.1810074999999998,-2.6359770248756225,-2.179327,6.30792956993007,4.810268,-3.2452993811188806,-2.550357,0.5920398009950248,0.6503496503496503,0.32894736842105265,0.27631578947368424,0.5518867924528302,0.330188679245283,1.656883958413773,USEFUL_BUT_NOISY
v4,4,585,403,256,1.1449455558312653,0.453074,4.015285710131474,3.16945212890625,2.241,5.379560168453562,4.345176399503722,3.014607,-2.5266456178660053,-2.265501,7.01471340234375,5.244519,-2.8573972421874996,-2.338435,0.5707196029776674,0.73046875,0.3104575163398693,0.24836601307189543,0.5572916666666666,0.2760416666666667,1.719741133769935,USEFUL_BUT_NOISY
v4,5,590,426,285,1.1617573098591547,0.43668799999999997,4.393976490769726,2.5015125263157896,1.708338,4.5410814307375365,4.2886728661971825,2.8318149999999997,-2.6247606572769953,-2.149677,6.066613245614035,4.642166,-2.939406568421053,-2.469401,0.5633802816901409,0.6771929824561403,0.3238993710691824,0.2830188679245283,0.5467289719626168,0.35046728971962615,1.633929118187248,USEFUL_BUT_NOISY
v4,6,581,385,232,1.241019174025974,0.570004,4.4416196774993315,2.373022288793104,1.598209,5.232644999277612,4.2681241454545455,3.012563,-2.5203254285714287,-2.07486,6.046675474137931,4.26631,-3.097408646551724,-2.76259,0.6207792207792208,0.6594827586206896,0.2408026755852843,0.27424749163879597,0.4076086956521739,0.33695652173913043,1.6934813643783313,USEFUL_BUT_NOISY
v4,7,583,386,260,0.910598005181347,0.124843,4.358345034707045,2.495259565384615,0.940573,5.713784956050732,3.79748174611399,2.502312,-2.660141378238342,-2.385278,6.068192734615385,4.434303,-3.0658190999999997,-2.894673,0.5284974093264249,0.6384615384615384,0.26545454545454544,0.3236363636363636,0.4772727272727273,0.4318181818181818,1.4275488427719745,USEFUL_BUT_NOISY
v4,8,587,404,259,0.7948915816831684,0.5175305,3.936714393560006,1.8172246293436292,1.248436,4.814883358425589,3.7735488564356436,2.8745570000000003,-2.660134495049505,-2.422697,5.5363009073359075,4.225234,-3.333824061776062,-2.669485,0.599009900990099,0.6525096525096525,0.3143939393939394,0.2878787878787879,0.52,0.36,1.4185556645568846,USEFUL_BUT_NOISY
v4,9,583,396,234,0.9175582828282828,1.0220544999999999,3.9575899432588524,2.1982611623931625,1.560367,4.667592090580667,3.6156299722222225,2.764384,-2.698804313131313,-2.2794404999999998,5.363925431623931,4.138275,-3.282097739316239,-2.517536,0.5959595959595959,0.6282051282051282,0.2916666666666667,0.2881944444444444,0.5,0.30864197530864196,1.3397155009090504,USEFUL_BUT_NOISY
v4,10,593,368,214,0.4132687527173913,0.018993,4.320467575187181,3.025291144859813,2.502481,4.652412535073791,3.5578055190217386,2.466317,-2.9260613586956525,-2.46482,5.993547831775701,5.044288,-3.4339986962616824,-2.853514,0.5054347826086957,0.7616822429906542,0.2901960784313726,0.3686274509803922,0.6428571428571429,0.42142857142857143,1.2159025676097572,USEFUL_BUT_NOISY
TS,1,576,371,232,2.505982385444744,2.244898,4.6669633946502485,4.601919219827586,3.720355,4.791811203257765,5.270459525606468,4.105477,-2.1207385094339624,-1.852679,8.04954840086207,7.592841,-2.1572915387931033,-1.865972,0.6765498652291105,0.8706896551724138,0.45051194539249145,0.1945392491467577,0.7821229050279329,0.16201117318435754,2.4852000858008587,USEFUL_BUT_NOISY
TS,2,585,399,291,2.2516432155388473,1.735546,5.037270215366455,3.7516555257731956,2.382486,5.334989011159951,5.592026711779448,4.322419,-2.2389011729323305,-1.775667,7.684078896907217,5.880024,-2.4381932405498286,-2.01048,0.6842105263157895,0.8178694158075601,0.42391304347826086,0.2246376811594203,0.634020618556701,0.24742268041237114,2.4976657207497315,USEFUL_BUT_NOISY
TS,3,585,392,257,1.604408168367347,0.9489295,4.431741075840131,2.773550766536965,2.086342,4.97246050871114,4.374553966836735,3.0344575000000003,-2.1584506224489792,-1.824062,6.34663512840467,4.543515,-2.395209167315175,-1.973285,0.6198979591836735,0.6926070038910506,0.2899022801302932,0.20195439739413681,0.4896907216494845,0.25257731958762886,2.0267102343408547,USEFUL_BUT_NOISY
TS,4,585,378,266,1.170155619047619,0.7326889999999999,4.333721455991384,3.01014607518797,2.2476085,5.231665669473974,4.115349518518518,2.8452279999999996,-2.4017600026455024,-2.251482,6.209994278195489,5.1563015,-3.021410522556391,-2.623551,0.6031746031746031,0.7556390977443609,0.2872727272727273,0.2,0.5526315789473685,0.25263157894736843,1.7134724177209724,USEFUL_BUT_NOISY
TS,5,590,408,220,1.4904974779411766,0.642724,4.767349233817559,4.234811163636364,3.122649,5.992228235511437,4.501261046568627,3.055686,-2.698668786764706,-2.420689,7.854768036363636,6.4877675,-2.6912103363636364,-2.2856115,0.5759803921568627,0.7772727272727272,0.3519736842105263,0.26973684210526316,0.6181818181818182,0.26666666666666666,1.6679560932577262,USEFUL_BUT_NOISY
TS,6,581,387,231,1.0860256589147286,0.445843,4.128768556315164,2.896455199134199,2.439391,4.703875245158843,4.112343839793281,2.934404,-2.5625174263565893,-2.39835,6.484263774891775,5.014327,-2.8409233376623373,-2.972546,0.5736434108527132,0.6926406926406926,0.3169811320754717,0.26037735849056604,0.5542168674698795,0.23493975903614459,1.6048061946803027,USEFUL_BUT_NOISY
TS,7,583,380,247,0.6950675157894737,0.403668,3.8466909218833107,1.9894533400809715,1.973887,4.5280720861560715,3.697269863157895,2.5669674999999996,-2.6927418710526316,-2.32297,5.5510664210526315,4.323635,-3.4700145506072877,-3.243174,0.5421052631578948,0.659919028340081,0.2920962199312715,0.28865979381443296,0.5494505494505495,0.34615384615384615,1.3730502366023591,USEFUL_BUT_NOISY
TS,8,587,407,263,0.6370906707616707,0.389718,4.228122911228384,1.846076524714829,0.739572,5.013751300342174,3.805227297297298,2.72197,-3.0239152014742015,-2.46482,5.615835216730037,3.971572,-3.6264715741444866,-2.943723,0.5601965601965602,0.5551330798479087,0.31186440677966104,0.3389830508474576,0.4838709677419355,0.3924731182795699,1.2583776474426913,USEFUL_BUT_NOISY
TS,9,583,404,279,0.577658495049505,0.2694305,4.146622649304065,1.5128009032258065,0.896574,4.716378792330921,3.6596863514851488,2.857689,-3.070459915841584,-2.426586,5.131627856630824,4.193139,-3.585461390681004,-2.945351,0.551980198019802,0.5806451612903226,0.25752508361204013,0.35785953177257523,0.475,0.465,1.1919016863250804,USEFUL_BUT_NOISY
TS,10,593,428,301,0.16598784112149534,-0.0085105,4.026939443818518,0.7417096976744185,0.372051,4.802481798462692,3.433207544392523,2.563029,-3.24537963317757,-2.733661,4.981988235880399,4.144504,-4.341405654485049,-3.72577,0.4976635514018692,0.521594684385382,0.24203821656050956,0.3630573248407643,0.38392857142857145,0.5089285714285714,1.0578754822070073,USEFUL_BUT_NOISY
SQ,1,576,398,257,1.2238533567839196,0.8096505,4.5183110397518975,1.6160108949416343,0.399907,5.39701031948918,4.340871771356784,3.2752274999999997,-2.4240474145728643,-1.866904,5.873470859922179,4.094488,-3.007008941634241,-2.312261,0.6306532663316583,0.5486381322957199,0.30201342281879195,0.38926174496644295,0.4587628865979381,0.4639175257731959,1.7907536565746913,USEFUL_BUT_NOISY
SQ,2,585,423,313,1.620742742316785,0.788229,4.70682948124118,2.869328811501597,2.371659,5.199622088466863,4.917764047281324,3.779841,-2.724200330969267,-2.179422,6.82588463258786,5.552037,-3.2108345079872205,-2.788403,0.6217494089834515,0.7252396166134185,0.40797546012269936,0.3374233128834356,0.5899581589958159,0.3514644351464435,1.8052138058186014,USEFUL_BUT_NOISY
SQ,3,585,412,310,1.4990148131067962,1.052934,4.592217609866029,2.1678269193548387,1.451034,4.958343851746038,4.5266700946601945,3.3717335,-2.761976033980583,-2.116713,6.003546512903225,4.430697,-3.243346193548387,-2.8020535,0.6116504854368932,0.6258064516129033,0.36451612903225805,0.2709677419354839,0.5818965517241379,0.33189655172413796,1.6389244652989692,USEFUL_BUT_NOISY
SQ,4,585,403,273,1.0311848957816379,0.664962,4.481524434426351,2.4131861904761904,2.085264,4.77893110948668,4.06966212158809,3.044635,-2.7360134292803973,-2.304564,6.051736615384615,4.770459,-3.258527871794872,-2.657602,0.5707196029776674,0.7032967032967034,0.30094043887147337,0.29153605015673983,0.5231481481481481,0.3287037037037037,1.487442304937245,USEFUL_BUT_NOISY
SQ,5,590,379,243,1.7662124089709763,0.747709,5.355271517653679,3.593997596707819,2.619328,5.746703284152579,4.864843817941953,2.996167,-2.5667154617414245,-2.469401,7.351989172839507,5.549723,-2.666042144032922,-2.339472,0.5804749340369393,0.720164609053498,0.35424354243542433,0.3247232472324723,0.5930232558139535,0.3313953488372093,1.8953576625284871,USEFUL_BUT_NOISY
SQ,6,581,404,246,0.8877210371287128,0.071225,4.7533456870994,3.496025069105691,2.3999215,5.371439652542801,4.192442235148515,2.464998,-2.8443761113861386,-2.3661285,6.644381430894309,5.117672,-3.331661605691057,-2.851325,0.5099009900990099,0.7398373983739838,0.27946127946127947,0.16498316498316498,0.4945054945054945,0.27472527472527475,1.4739408822785494,USEFUL_BUT_NOISY
SQ,7,583,399,256,1.5903649724310776,1.0927,4.263419096971591,3.9295046054687504,2.698264,5.49268928396634,4.552978458646617,3.164091,-2.6278180250626573,-2.397857,7.2540344609375,6.164145,-2.88326202734375,-2.502962,0.5889724310776943,0.765625,0.3525423728813559,0.21016949152542372,0.6388888888888888,0.2,1.7326079717936544,USEFUL_BUT_NOISY
SQ,8,587,396,255,1.3613326388888884,0.787319,4.0040758248744375,3.225538858823529,2.072043,5.160826935891472,4.1457249166666665,2.966123,-2.4861916111111113,-2.052059,6.713376145098039,5.226997,-2.8321044705882357,-2.320234,0.601010101010101,0.7607843137254902,0.2926829268292683,0.1951219512195122,0.56,0.24571428571428572,1.6675001629556172,USEFUL_BUT_NOISY
SQ,9,583,380,223,0.7797717552631579,0.8718815,3.479900992941188,1.8975493587443943,2.08606,3.808552891276306,3.612999794736842,2.7315355,-2.269867957894737,-1.9100385,5.513253452914798,4.717621,-2.916319470852018,-2.518129,0.6105263157894737,0.6502242152466368,0.28888888888888886,0.25555555555555554,0.5641025641025641,0.3333333333333333,1.5917224533570826,USEFUL_BUT_NOISY
