sector,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength
Basic Materials,247,182,123,1.0325536208791208,0.284919,5.108100315606271,1.5077197967479674,0.136703,6.259939479887798,3.5567188791208793,2.018093,-2.348814686813187,-2.292451,4.62730280487805,2.592435,-3.0802182032520324,-3.284563,0.532967032967033,0.5121951219512195,0.15833333333333333,0.4083333333333333,0.3472222222222222,0.4444444444444444,1.5142611714279368,USEFUL_BUT_NOISY
Communication Services,27,21,19,1.0764990476190477,1.69669,2.6640545116767314,0.5775096842105264,0.289795,4.530041091715677,4.3535342380952375,3.293668,-3.2575153809523805,-2.623673,5.854248842105263,5.506106,-4.151667894736842,-3.83959,0.9047619047619048,0.5263157894736842,0.21052631578947367,0.21052631578947367,0.5294117647058824,0.29411764705882354,1.3364585363285133,DESCRIPTIVE_ONLY
Consumer Cyclical,708,453,271,1.081100026490066,0.08603,5.350797444376752,1.765136778597786,0.990759,5.29876032481728,4.819477174392937,2.884195,-2.8986635474613687,-2.503194,6.718796394833948,4.387521,-3.861358745387454,-3.339834,0.5121412803532008,0.5867158671586716,0.3253731343283582,0.34328358208955223,0.48792270531400966,0.4927536231884058,1.662654908195125,USEFUL_BUT_NOISY
Consumer Staples,219,131,96,0.14658783206106873,-0.184471,3.6676223178628455,1.2832744479166667,1.7907579999999998,3.3063558049269983,3.1664137480916033,2.237878,-2.9046036412213736,-2.795527,4.390004947916666,4.254747999999999,-3.4231600104166664,-2.8322835,0.48854961832061067,0.6770833333333334,0.18518518518518517,0.345679012345679,0.3333333333333333,0.38596491228070173,1.0901362592660455,USEFUL_BUT_NOISY
Energy,177,115,86,2.310878252173913,4.092883,5.967504119947734,7.256644186046512,7.328137,6.859336400918336,4.790685947826086,4.631372,-4.172197886956521,-3.769841,9.01184646511628,7.901786,-4.844359662790697,-4.3549085000000005,0.6956521739130435,0.9302325581395349,0.38596491228070173,0.19298245614035087,0.5434782608695652,0.2391304347826087,1.1482403466055948,USEFUL_BUT_NOISY
Financial Services,1398,927,541,0.6365821499460625,0.571592,3.0734345293551857,1.4506216617375232,1.198963,3.50421620545311,3.1861517303128375,2.656794,-2.23591605609493,-1.874604,4.581508121996303,4.047361,-2.63818173012939,-2.265781,0.5771305285868392,0.6598890942698706,0.3087557603686636,0.261136712749616,0.4907161803713528,0.3209549071618037,1.4249871866287824,STRONGER_AGGREGATE
Health Care,667,442,322,2.185131119909502,1.5867944999999999,4.648923083702684,4.430486956521738,3.801949,5.015677747639291,5.135955226244344,4.128000999999999,-2.726801092760181,-2.2623065,7.619119736024846,6.838046,-2.839924204968944,-2.492047,0.6628959276018099,0.8105590062111802,0.3978779840848806,0.16710875331564987,0.6806083650190115,0.20152091254752852,1.8835093032200299,USEFUL_BUT_NOISY
Industrials,1159,786,531,1.2142172646310432,0.53286,4.3415663395386215,3.2826664896421844,2.698264,4.994179561115906,4.468063629770993,3.3697885000000003,-2.7707010661577605,-2.286,6.902749557438795,5.852417,-3.1570750772128062,-2.577168,0.583969465648855,0.7288135593220338,0.3430034129692833,0.2593856655290102,0.625974025974026,0.3090909090909091,1.612611221161809,STRONGER_AGGREGATE
Miscellaneous / Other,29,14,12,3.394461357142857,3.7574665,5.142087410483047,6.95751125,4.388112,6.694211508027175,6.917927785714285,4.2769115,-2.1749366428571433,-1.272385,8.537202416666666,8.049533499999999,-2.2396522500000002,-1.272385,0.7857142857142857,0.9166666666666666,,,,,3.1807491075355783,DESCRIPTIVE_ONLY
Technology,671,439,284,2.021680095671982,1.60473,4.716716557376847,3.004816559859155,2.1065945,5.804383222407508,5.542780453302962,4.343791,-2.235751820045558,-1.949823,7.82699826056338,6.413092499999999,-2.6625593943661974,-2.0923084999999997,0.6514806378132119,0.704225352112676,0.382089552238806,0.20298507462686566,0.6146341463414634,0.17073170731707318,2.4791573034210996,USEFUL_BUT_NOISY
Unknown,469,382,270,0.8746538219895287,0.22191149999999998,4.728513531274104,2.076085307407407,1.6276345,5.22374008726575,3.9797153534031415,2.432329,-2.847861845549738,-2.6171094999999998,6.185487437037037,4.530774,-3.0203204037037037,-2.8663085,0.5340314136125655,0.5925925925925926,0.2672672672672673,0.35135135135135137,0.4915254237288136,0.3601694915254237,1.3974397527822897,USEFUL_BUT_NOISY
Utilities,77,62,32,-0.14629827419354835,0.805844,3.265592830621187,0.6849084375,2.049511,3.592928805735994,1.8219211451612904,2.141623,-2.9915655967741936,-2.385907,3.17032559375,3.493876,-4.0465255312499995,-2.614347,0.6774193548387096,0.78125,0.0,0.6,0.13333333333333333,1.0,0.6090192864652103,WEAK
