setup_type,setup_model,analysis_kind,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,spearman_5d,spearman_10d,slice_value
breakout,CURRENT_TYPE_SPECIFIC,ALL,116,104,0.5170582148880418,0.45128629678794496,2.2793619885213228,1.6330524702221516,-1.4905975754958012,-1.348737014437662,0.6057692307692307,99,0.6025702727462011,0.7110208227526504,3.4892100448720016,2.859493931289858,-2.4766741493054565,-1.98491950275117,0.6060606060606061,95,1.3923214322337483,1.2369033760186277,4.3359507056204425,3.7599072105161335,-2.6141356855653566,-2.0289310539169603,0.7157894736842105,75,1.6061082504579054,1.2073649260488928,5.692496935368317,4.361120051496603,-3.229751203935912,-2.6510721247563374,0.6133333333333333,0.7407407407407407,3.608695652173913,2.957894736842105,5.466666666666667,0.35308944918650603,-0.1997468028495408,
breakout,CURRENT_TYPE_SPECIFIC,TOP_20_PCT_WITHIN_SETUP,34,31,0.6554658092267389,0.8524201319398239,2.301786776495296,1.650269755633138,-1.370292831192018,-1.6549104720564256,0.5806451612903226,29,1.4571170215365898,0.7933989209774728,4.085380989349476,2.967359050445117,-1.7154577335772994,-1.6549104720564256,0.6206896551724138,26,2.4559976392703975,1.2728406158446726,4.970632197651839,3.937621832358684,-1.7032936088182884,-1.8913578762547676,0.8846153846153846,21,1.3819084854286363,0.0875401225561844,5.673365606090146,4.6536224219989375,-2.0004184780238923,-2.022700814901046,0.5238095238095238,0.8333333333333334,1.2,3.1153846153846154,4.619047619047619,0.35308944918650603,-0.1997468028495408,
breakout,OLD_MAX,ALL,116,104,0.5170582148880418,0.45128629678794496,2.2793619885213228,1.6330524702221516,-1.4905975754958012,-1.348737014437662,0.6057692307692307,99,0.6025702727462011,0.7110208227526504,3.4892100448720016,2.859493931289858,-2.4766741493054565,-1.98491950275117,0.6060606060606061,95,1.3923214322337483,1.2369033760186277,4.3359507056204425,3.7599072105161335,-2.6141356855653566,-2.0289310539169603,0.7157894736842105,75,1.6061082504579054,1.2073649260488928,5.692496935368317,4.361120051496603,-3.229751203935912,-2.6510721247563374,0.6133333333333333,0.7407407407407407,3.608695652173913,2.957894736842105,5.466666666666667,0.2167489273572158,-0.04931530212396562,
breakout,OLD_MAX,TOP_20_PCT_WITHIN_SETUP,34,31,1.1040048994655154,1.2503721345638483,2.4742076328836253,1.8098703237242164,-0.94597309812842,-1.2501166153559118,0.6774193548387096,29,1.0216208172445485,0.6530459930963683,3.3379433579557656,3.109292811221498,-1.3750700739192694,-1.537631507957915,0.6206896551724138,26,1.9729199741087768,1.2781043007743298,4.097185487482258,3.78835055182295,-1.486531047564174,-2.022700814901046,0.9230769230769231,20,0.7410402381904753,1.8297243252322184,4.991486073574583,4.090403802318909,-1.6959016001849019,-2.022700814901046,0.55,0.7,3.6,3.1153846153846154,5.5,0.2167489273572158,-0.04931530212396562,
breakout,HYBRID_PRIMARY_CONFIRMATION,ALL,116,104,0.5170582148880418,0.45128629678794496,2.2793619885213228,1.6330524702221516,-1.4905975754958012,-1.348737014437662,0.6057692307692307,99,0.6025702727462011,0.7110208227526504,3.4892100448720016,2.859493931289858,-2.4766741493054565,-1.98491950275117,0.6060606060606061,95,1.3923214322337483,1.2369033760186277,4.3359507056204425,3.7599072105161335,-2.6141356855653566,-2.0289310539169603,0.7157894736842105,75,1.6061082504579054,1.2073649260488928,5.692496935368317,4.361120051496603,-3.229751203935912,-2.6510721247563374,0.6133333333333333,0.7407407407407407,3.608695652173913,2.957894736842105,5.466666666666667,0.2894126249771491,-0.18077847395073382,
breakout,HYBRID_PRIMARY_CONFIRMATION,TOP_20_PCT_WITHIN_SETUP,34,31,0.7041995624096284,0.8524201319398239,2.193085508949593,1.650269755633138,-1.380444216335698,-1.6549104720564256,0.6129032258064516,29,1.4765314729448704,0.7933989209774728,4.035449764967659,2.967359050445117,-1.7080740166697645,-1.6549104720564256,0.6206896551724138,26,2.479745346387128,1.2781043007743298,4.914939678149044,3.695970276886529,-1.717492019650032,-1.8913578762547676,0.8846153846153846,21,1.5433110469009432,0.0875401225561844,5.829785554681014,4.673943464875463,-1.9476304195902343,-2.022700814901046,0.5238095238095238,0.8333333333333334,1.4,3.1923076923076925,5.0,0.2894126249771491,-0.18077847395073382,
extended_momentum,CURRENT_TYPE_SPECIFIC,ALL,211,195,-0.00695564121472384,-0.2049705354855158,1.3967917457390446,1.0455635491606774,-1.2399355610161609,-0.9683098591549256,0.4358974358974359,155,-0.23165522764794982,-0.0950703240779504,2.1329225783125887,1.5539568345323884,-2.343242382886438,-2.3147295388960543,0.4838709677419355,148,0.09662196115181648,0.08362735595986434,2.7800531192739455,2.375829257712747,-2.758897474661906,-2.508276051265029,0.5,72,-0.2602429408473676,-0.540450553329902,4.227468309682338,3.421421549796011,-3.5568690881678413,-3.7409339610637415,0.4305555555555556,0.25,4.071428571428571,2.9054054054054053,5.486111111111111,0.10245720493895914,0.10638298548364848,
extended_momentum,CURRENT_TYPE_SPECIFIC,TOP_20_PCT_WITHIN_SETUP,53,49,-0.13916664400099052,-0.457902034761859,1.475565898360466,0.922909880564604,-1.8229248227856998,-0.9706233272064768,0.3877551020408163,37,0.05132238094464088,-0.6925945657964783,2.780105499536136,2.374593590339069,-3.037069795350069,-2.816370880115904,0.4594594594594595,35,0.3809089986805008,0.7123180945491026,3.641149684264218,2.5117475945401813,-3.3369222605117894,-2.857619855866877,0.6,17,-0.42114643992658496,1.5252820727120753,5.148693318308372,2.8502930207778387,-5.120473790322343,-6.248338207923432,0.5882352941176471,0.3333333333333333,1.0,2.8,5.117647058823529,0.10245720493895914,0.10638298548364848,
extended_momentum,OLD_MAX,ALL,211,195,-0.00695564121472384,-0.2049705354855158,1.3967917457390446,1.0455635491606774,-1.2399355610161609,-0.9683098591549256,0.4358974358974359,155,-0.23165522764794982,-0.0950703240779504,2.1329225783125887,1.5539568345323884,-2.343242382886438,-2.3147295388960543,0.4838709677419355,148,0.09662196115181648,0.08362735595986434,2.7800531192739455,2.375829257712747,-2.758897474661906,-2.508276051265029,0.5,72,-0.2602429408473676,-0.540450553329902,4.227468309682338,3.421421549796011,-3.5568690881678413,-3.7409339610637415,0.4305555555555556,0.25,4.071428571428571,2.9054054054054053,5.486111111111111,0.09676219831716283,-0.037431356422744706,
extended_momentum,OLD_MAX,TOP_20_PCT_WITHIN_SETUP,50,45,0.2604177479321648,-0.4731514084507005,1.697040913548202,0.9937646141854994,-1.5261444040676082,-0.9774964838255906,0.4666666666666667,36,0.6204983011273396,0.4811247221714776,2.7755449893468724,1.6204563677255202,-2.4684805201261906,-2.1499387323159147,0.5833333333333334,34,1.7681080861459844,1.488028641754302,4.282809410621526,3.2237871674491325,-2.585158221147,-2.3340340609561085,0.8235294117647058,13,0.500417305856184,0.9193170787415106,5.966405676678507,2.780791412093886,-3.7761139806303827,-2.6229897335469654,0.6153846153846154,0.42857142857142855,1.0,3.764705882352941,5.0,0.09676219831716283,-0.037431356422744706,
