setup_type,analysis_kind,slice_value,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength
breakout,ALL,ALL,116,95,75,1.3923214526315788,1.236903,3.6837403075348414,1.60610816,1.207365,4.665284097713485,4.3359508,3.759907,-2.6141356947368424,-2.028931,5.69249696,4.36112,-3.229751226666667,-2.651072,0.7157894736842105,0.6133333333333333,0.3150684931506849,0.0410958904109589,0.41818181818181815,0.12727272727272726,1.6586555964672247,WEAK
breakout,SQ_QUARTILE,1,29,24,18,0.5487474166666666,0.20697449999999998,2.599031537988984,1.8785723333333333,0.790079,3.5680377405319676,3.6982287916666654,4.3008275000000005,-2.8211700833333335,-2.0584645,5.726968833333334,4.859972,-3.1981404444444443,-2.400472,0.625,0.7222222222222222,0.2,0.0,0.26666666666666666,0.0,1.3108847330810518,DESCRIPTIVE_ONLY
breakout,SQ_QUARTILE,2,29,26,21,-0.0750709615384615,0.6021465,4.264406478185216,0.6897851428571429,-0.378788,3.4411001187901853,3.2298916538461544,2.410468,-3.9389479999999994,-3.3498845,3.7451884285714283,3.603088,-5.079635380952381,-3.577842,0.5384615384615384,0.47619047619047616,0.3157894736842105,0.15789473684210525,0.5333333333333333,0.4666666666666667,0.8199883963551067,DESCRIPTIVE_ONLY
breakout,SQ_QUARTILE,3,29,21,15,2.2680165714285714,1.267577,3.262915220585306,1.981017,1.305292,6.696095470546836,4.874648095238094,3.882606,-2.2800015714285715,-1.98492,6.903901333333333,5.95656,-3.0422569333333334,-2.494396,0.7619047619047619,0.6666666666666666,0.3125,0.0,0.5,0.0,2.138002076982695,DESCRIPTIVE_ONLY
breakout,SQ_QUARTILE,4,29,24,21,3.0593373749999997,1.598951,3.5921876612075674,2.0210984285714284,1.639344,5.02459312145827,5.700543416666668,4.295622,-1.2642553333333333,-1.5637629999999998,6.7449693333333345,4.673943,-1.540886523809524,-1.822731,0.9583333333333334,0.6190476190476191,0.4444444444444444,0.0,0.4,0.0,4.5090127495342465,DESCRIPTIVE_ONLY
breakout,TRIGGER_STATE,beyond_trigger,54,47,38,1.5417559361702124,1.111111,3.540177360226329,1.471847447368421,0.057274,5.600652205426753,4.475298340425532,4.313267,-3.041227191489362,-3.09616,6.10209352631579,4.756797000000001,-3.8134497631578945,-3.223553,0.7659574468085106,0.5526315789473685,0.2972972972972973,0.0,0.3793103448275862,0.0,1.4715435771945309,WEAK
breakout,TRIGGER_STATE,extended_beyond_trigger,6,6,4,3.3100965,2.013423,2.482667925800368,0.51347525,0.08754,1.390430222340643,5.8524008333333315,5.3363075,-1.4825161666666666,-1.6930375,6.3194935,5.602568,-2.10818225,-2.9954650000000003,1.0,0.75,0.6,0.0,0.3333333333333333,0.0,3.9476134998865096,DESCRIPTIVE_ONLY
breakout,TRIGGER_STATE,freshly_triggered,56,42,33,0.9511292857142855,1.1632805,3.9415021740695995,1.8931517575757575,2.735678,3.691338041476238,3.9633785476190475,2.600059,-2.297859904761905,-1.787206,5.144840727272727,4.145078,-2.6935612727272726,-1.853161,0.6190476190476191,0.6666666666666666,0.2903225806451613,0.0967741935483871,0.4782608695652174,0.30434782608695654,1.7248129615759658,WEAK
breakout,STAGE,Stage 1,26,21,12,2.0048522857142856,1.849204,2.646349424063896,4.454863916666667,4.5065095,1.8063610037167117,4.6046413333333325,3.078391,-2.1779403809523807,-2.028931,6.942063583333334,6.396402,-2.2087797499999997,-2.276269,0.7142857142857143,1.0,0.4,0.2,1.0,0.42857142857142855,2.1142182649277994,DESCRIPTIVE_ONLY
breakout,STAGE,Stage 2,44,30,24,2.9243395000000003,1.5965675,3.891294064963087,2.292169,2.761282,5.807570889188676,5.220803599999999,4.206549,-1.6945794333333335,-1.525619,6.544435291666666,4.7669575,-2.1751815000000003,-1.5902645,0.8,0.6666666666666666,0.43478260869565216,0.0,0.35294117647058826,0.0,3.080884553006986,WEAK
breakout,STAGE,Stage 3,12,10,9,1.8682295999999998,1.3967070000000001,2.3542481032430715,2.322298222222222,2.521972,4.631637400945311,4.3653741,4.467574,-2.1161167,-0.974453,7.587585222222221,7.37604,-2.792490222222222,-2.541078,1.0,0.6666666666666666,0.42857142857142855,0.0,0.8333333333333334,0.0,2.0629174657522436,DESCRIPTIVE_ONLY
