component,component_column,analysis_kind,slice_value,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,spearman_5d,spearman_10d,decile_monotonicity_5d,decile_monotonicity_10d,bootstrap_clusters,bootstrap_mean_ci_low,bootstrap_mean_ci_high
Local Trend,local_trend,OVERALL,ALL,5848,4984,0.22385097493081108,0.09651385752231785,1.7194404187923427,1.332458114528634,-1.241134852491841,-1.0497424433345115,0.5244783306581059,4268,0.7302323370630908,0.3047972435727519,3.2357115630158693,2.205151249349735,-2.2176758271205066,-1.8782249742002155,0.5433458294283037,3954,1.2027377907430892,0.7280657510193134,4.245471456266126,3.025153363116506,-2.632854894366562,-2.2514816398851223,0.5872534142640364,2587,2.665580682798213,1.9768983147131047,6.336219745957669,4.881706097967342,-3.0906655721678598,-2.625,0.6872825666795516,0.6161825726141079,4.270428015564202,3.0758725341426403,6.073830691921144,-0.13172983153310722,-0.18881107982805445,-0.7333333333333332,-0.8181818181818182,7.0,0.907255528739612,1.5285947465902214
Local Trend,local_trend,TOP_10_PCT,TOP_10_PCT,598,522,0.04278467016699271,-0.16566910096844076,1.5761414636092954,1.3045415221559997,-1.2713961312751627,-1.0887885121014018,0.446360153256705,456,-0.08236390865531007,-0.3657691092796622,2.396645019234784,1.7187418322305192,-2.446629199436398,-2.185717052066805,0.44956140350877194,410,0.07301570424152576,-0.10306469278963384,3.052403496813998,2.1213095236658153,-3.0217660571740326,-2.579791632214324,0.4878048780487805,294,0.664864843664581,0.4430863254392569,4.3792779216519815,3.598971722365052,-3.6591376308504198,-3.052713499760329,0.5510204081632653,0.4878048780487805,4.021739130434782,2.8902439024390243,5.741496598639456,,,,,7.0,-0.552922260095512,0.6788168782741513
Local Trend,local_trend,TOP_20_PCT,TOP_20_PCT,1126,969,0.08428525668432815,-0.0678462874511454,1.5779994194968288,1.2707792616009297,-1.1891110827753877,-0.9743167245764296,0.47987616099071206,822,0.2698345118388523,0.01141291942479135,2.641533345772132,1.8504129655128487,-2.2497860158502045,-1.9979774501545369,0.5,752,0.5285806986660867,0.1302648719061938,3.3514224658300757,2.545968882602545,-2.737323288298562,-2.369882045666505,0.5412234042553191,504,1.0361819526204232,0.7395720343161383,4.659749072511769,3.96326727887868,-3.3901247230654534,-2.7365475702837934,0.5813492063492064,0.555956678700361,4.540697674418604,2.9906914893617023,5.761904761904762,,,,,7.0,-0.024998294244760317,0.9444740808490036
Local Trend,local_trend,DECILE,1,581,492,0.7115176498994304,0.6050312320045936,2.237894906664873,1.6524085955800016,-1.2057351276410602,-1.047551953850745,0.6402439024390244,423,1.8355447661974602,1.447081617825141,4.597229583329025,3.109292811221498,-2.0482397710536793,-1.740365111561859,0.6264775413711584,404,2.853895600501954,2.411399342345644,5.960001082458668,4.7174337492402625,-2.4224149594344166,-2.1723143539155334,0.7252475247524752,287,4.3414293373278,3.135155801949918,8.05927483913099,7.497467071935149,-2.6125841252915976,-2.1885702054794565,0.8710801393728222,0.7564102564102564,3.6142857142857143,3.400990099009901,6.445993031358885,,,,,7.0,2.2045948013238226,3.5013141932145544
Local Trend,local_trend,DECILE,2,583,490,0.5375452432531824,0.2739366263613707,2.043788625849928,1.4763194258451073,-1.1391200644626853,-1.1212997109538492,0.5673469387755102,432,1.1057696780835384,0.673012062128564,3.643655818977597,2.568025352420489,-2.0484484401731256,-1.7830470500373563,0.5763888888888888,405,1.8812198541083245,1.2380880918436032,4.947258729476564,3.665521191294374,-2.244928000828029,-1.9437390115256803,0.6395061728395062,267,3.562258280155609,2.252024291497956,7.729417540181826,6.3200649878147885,-2.413391932075223,-2.1802434107369595,0.7528089887640449,0.6551724137931034,3.6339285714285716,3.2074074074074073,6.007490636704119,,,,,7.0,0.9777680325507301,2.586267237310993
Local Trend,local_trend,DECILE,3,604,520,0.25721793746113386,0.12187172150531775,1.6704634193505585,1.293819389806794,-1.2765781133384388,-1.135609939912663,0.5384615384615384,448,0.9316373992889939,0.42147747162346594,3.2858574072193525,2.1206646328821632,-2.1179592543484924,-1.8992955909209568,0.5714285714285714,416,1.2828184182636972,0.8312825338644969,4.028980837856163,3.0228368468418587,-2.4951661171733357,-2.130681818181812,0.6153846153846154,280,2.810114928641856,1.9996537396121727,6.268512350004128,4.8268410284346475,-2.8514064207952607,-2.265500794912556,0.7392857142857143,0.6445783132530121,4.504424778761062,3.050480769230769,6.2,,,,,7.0,0.6486589412075495,2.1090039747710394
Local Trend,local_trend,DECILE,4,571,493,0.10729975526514171,0.1520372998175645,1.5735309708759322,1.2349914236706727,-1.3178546283214239,-1.169076052796969,0.5537525354969574,428,0.719605274938917,0.45932536810892044,3.0273401536796087,2.309946409243313,-2.0985932585422695,-1.7275648808484811,0.5864485981308412,390,1.1012984923390776,0.7295239377825169,4.197367359587588,3.0418500755535094,-2.393519304713528,-1.9699458252296518,0.5820512820512821,252,2.5316922750614563,1.560366686171255,6.3085028014959565,4.705091755406777,-2.7400359882836365,-2.3054417788180293,0.7142857142857143,0.7279411764705882,4.037037037037037,3.1153846153846154,6.150793650793651,,,,,7.0,0.5909495368028719,1.818468999317925
Local Trend,local_trend,DECILE,5,581,500,0.12415168958003396,0.0582920431360989,1.5655650278953337,1.282730214769057,-1.3337286915960163,-1.136485472284765,0.516,427,0.33080945976672227,0.0195763674092575,2.987039400109774,1.9230769230769384,-2.4560162873211224,-2.2416302765647766,0.5035128805620609,388,0.5658972286815068,0.0712250712250783,3.945934804458907,2.750212114156481,-3.0240591336917277,-2.6150179507531903,0.5103092783505154,242,2.5255765071512077,2.0829689897150283,6.1949115513810025,5.193544343550471,-3.6686544581497276,-3.154386475268495,0.6115702479338843,0.5460992907801419,4.829787234042553,2.847938144329897,6.074380165289257,,,,,7.0,0.1325816333244091,1.2783202383337475
Local Trend,local_trend,DECILE,6,548,450,0.2675594067847923,0.0930809804529975,1.846280912954571,1.4130778974034142,-1.2553847820013495,-0.951015786042414,0.5288888888888889,374,0.6558813752690072,0.5249343832020914,3.3064962758399283,2.310445818418483,-2.367416647363123,-1.957397812320083,0.5481283422459893,343,1.0582310894863283,0.6307390567888094,4.539644864946213,2.936769553491158,-2.887879497400089,-2.439613526570039,0.5918367346938775,215,3.3769381422474356,2.6286353467561696,6.917952955298997,5.244518850004809,-3.255014629113763,-2.8110525475163683,0.7162790697674418,0.6160714285714286,3.7037037037037037,3.058309037900875,5.906976744186046,,,,,7.0,0.5954798427178428,1.3931577046243198
Local Trend,local_trend,DECILE,7,581,493,0.027457985280587568,-0.0217509516041269,1.4806830972221827,1.143147466023109,-1.2343426449461568,-0.9884678747940744,0.486815415821501,415,0.6428647707423848,0.1419446415897862,3.031837561435829,2.034179313863027,-2.13543342732784,-1.7006802721088343,0.5277108433734939,390,0.9130057878700092,0.1073652566029537,3.9648739985401353,2.8458943025669203,-2.632284776773249,-2.338435374149661,0.5256410256410257,228,3.1560715347338353,2.57154021328313,6.696073712687084,5.217951470904025,-3.1302663928660834,-2.84913591779542,0.706140350877193,0.6940298507462687,5.152380952380953,3.164102564102564,6.521929824561403,,,,,7.0,0.5654609797284522,1.2193481835439879
Local Trend,local_trend,DECILE,8,673,577,0.06563348521917103,-0.1315585822628029,1.6466749577316147,1.2991781286186388,-1.262280032700776,-1.0433188819569228,0.462738301559792,499,0.5250319493701532,-0.032164683177871,3.1701711221733846,2.1793629992593155,-2.3987973187690605,-1.7484795829713295,0.4969939879759519,466,1.1620003347277674,0.7534201308571742,4.093118390549679,2.877110827302398,-2.7941187716168256,-2.398350293629803,0.5879828326180258,312,2.2271608432543077,1.1442190025882537,5.796029284913907,4.259293543013854,-3.5337037063307126,-2.845052316767199,0.5897435897435898,0.441340782122905,4.427184466019417,2.9356223175965663,5.903846153846154,,,,,7.0,0.8818713401525814,1.586208837811156
Local Trend,local_trend,DECILE,9,528,447,0.13274902885893458,0.1055647715276553,1.5801691129493842,1.2464046021092967,-1.0930198180843747,-0.924000924000934,0.5190156599552572,366,0.708639101306989,0.3545887142988091,2.9466401132612865,2.0086738187628184,-2.0045387707264224,-1.69859543936825,0.5628415300546448,342,1.0747258674206774,0.7421927183206112,3.709895498861046,2.8533399357241307,-2.396324647249022,-2.0666992799734887,0.6052631578947368,210,1.5560259051586025,1.2849970215300657,5.052408683715472,4.368739480773143,-3.0135066521665013,-2.3405832964814577,0.6238095238095238,0.6548672566371682,5.1375,3.111111111111111,5.79047619047619,,,,,6.0,0.4108182049258338,1.7010486287573445
Local Trend,local_trend,DECILE,10,598,522,0.04278467016699271,-0.16566910096844076,1.5761414636092954,1.3045415221559997,-1.2713961312751627,-1.0887885121014018,0.446360153256705,456,-0.08236390865531007,-0.3657691092796622,2.396645019234784,1.7187418322305192,-2.446629199436398,-2.185717052066805,0.44956140350877194,410,0.07301570424152576,-0.10306469278963384,3.052403496813998,2.1213095236658153,-3.0217660571740326,-2.579791632214324,0.4878048780487805,294,0.664864843664581,0.4430863254392569,4.3792779216519815,3.598971722365052,-3.6591376308504198,-3.052713499760329,0.5510204081632653,0.4878048780487805,4.021739130434782,2.8902439024390243,5.741496598639456,,,,,7.0,-0.552922260095512,0.6788168782741513
HTF Trend,htf_trend,OVERALL,ALL,5848,4984,0.22385097493081108,0.09651385752231785,1.7194404187923427,1.332458114528634,-1.241134852491841,-1.0497424433345115,0.5244783306581059,4268,0.7302323370630908,0.3047972435727519,3.2357115630158693,2.205151249349735,-2.2176758271205066,-1.8782249742002155,0.5433458294283037,3954,1.2027377907430892,0.7280657510193134,4.245471456266126,3.025153363116506,-2.632854894366562,-2.2514816398851223,0.5872534142640364,2587,2.665580682798213,1.9768983147131047,6.336219745957669,4.881706097967342,-3.0906655721678598,-2.625,0.6872825666795516,0.6161825726141079,4.270428015564202,3.0758725341426403,6.073830691921144,-0.0686458833087213,-0.09817802873748167,-0.7857142857142858,-0.7142857142857144,7.0,0.907255528739612,1.5285947465902214
