score,selection,N,N_5d,N_10d,mean_return_5d,median_return_5d,std_return_5d,mean_return_10d,median_return_10d,std_return_10d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,positive_5d_rate,positive_10d_rate,target_hit_5d_rate,stop_hit_5d_rate,target_hit_10d_rate,stop_hit_10d_rate,MFE_MAE_ratio_5d,evidence_strength,spearman_5d,spearman_10d,bootstrap_delta_low,bootstrap_delta_high
v4,ALL,5848,3954,2587,1.2027377900859888,0.7280655,4.427378421240338,2.6655806722071897,1.976898,5.143069803486359,4.245471462063733,3.0251535,-2.632854900354072,-2.251482,6.336219749903362,4.881706,-3.090665573250869,-2.625,0.5872534142640364,0.6872825666795516,0.3213429256594724,0.2713257965056526,0.5468085106382978,0.3191489361702128,1.612497316693295,STRONGER_AGGREGATE,-0.09272385121149737,-0.056958526808371567,0.0,0.0
v4,TOP_1PCT,67,30,14,1.3250237666666669,1.2437475,2.807411141229581,3.845685571428571,2.990325,4.34886324490201,3.4031672333333334,2.9819035,-1.5725331,-1.2797615,6.517694,6.605135000000001,-1.421475642857143,-0.543185,0.5666666666666667,0.8571428571428571,0.36,0.32,0.6923076923076923,0.3846153846153846,2.164130747602917,WEAK,0.5724137931034485,0.9124999999999998,0.0,0.0
v4,TOP_5PCT,302,176,106,0.3996478125,0.058175,4.0467635586735815,2.4486167358490563,2.292412,3.928281127675063,3.2702407727272726,2.466317,-2.7769254204545453,-2.32297,5.145719603773585,4.231269,-3.3179813773584907,-2.853514,0.5284090909090909,0.7547169811320755,0.25,0.4137931034482758,0.609375,0.5,1.177648037876357,USEFUL_BUT_NOISY,-0.057948085225061396,-0.1144664688661662,0.0,0.0
v4,TOP_10PCT,593,368,214,0.4132687527173913,0.018993,4.320467575187181,3.025291144859813,2.502481,4.652412535073791,3.5578055190217386,2.466317,-2.9260613586956525,-2.46482,5.993547831775701,5.044288,-3.4339986962616824,-2.853514,0.5054347826086957,0.7616822429906542,0.2901960784313726,0.3686274509803922,0.6428571428571429,0.4214285714285714,1.2159025676097572,USEFUL_BUT_NOISY,-0.0024620556678816106,-0.16440985801402958,0.0,0.0
v4,TOP_20PCT,1180,766,450,0.6756194216710182,0.6352135,4.135935018755213,2.594061202222222,2.1021085,4.663060685802468,3.5876059373368143,2.5452975,-2.8014906866840734,-2.351113,5.655160077777778,4.634611,-3.340691933333333,-2.7022625,0.5535248041775457,0.6933333333333334,0.2935779816513761,0.3247706422018349,0.569078947368421,0.3585526315789473,1.280606055336636,STRONGER_AGGREGATE,-0.05059655418264424,0.05920174647258257,0.0,0.0
v4,GE_7.0,4610,3301,2173,1.045375877309906,0.553846,4.259513806007703,2.517987389783709,1.790441,5.037116409051641,4.038315590427144,2.884195,-2.6499700511966067,-2.270645,6.101354740911183,4.689568,-3.138382196502531,-2.670693,0.5786125416540442,0.6718821905200184,0.3030050083472454,0.2838063439065108,0.5317511225144324,0.3444515715202053,1.5239098980019123,STRONGER_AGGREGATE,-0.06723690273963524,-0.02992423234467424,0.0,0.0
v4,GE_7.5,3198,2331,1502,0.9023219416559416,0.511141,4.198217644082765,2.3534592829560586,1.5945505,4.98965769681134,3.84002991977692,2.702703,-2.688600981981982,-2.321796,5.86040846737683,4.519428,-3.203042217043942,-2.758666,0.5684255684255685,0.6591211717709721,0.2850241545893719,0.3043478260869565,0.5136921624173749,0.3720491029272899,1.4282632289102744,STRONGER_AGGREGATE,-0.046549070865942545,-0.007526096109997416,0.0,0.0
v4,GE_8.0,1477,1079,685,0.6875096227988878,0.361803,4.166451280687726,2.173368608759124,1.560367,4.759219480924021,3.5490647293790545,2.529236,-2.872724343836886,-2.499088,5.514135696350365,4.418475,-3.376052013138686,-2.724677,0.5486561631139945,0.6583941605839416,0.2737430167597765,0.3421787709497206,0.5346756152125279,0.3668903803131991,1.2354351843723477,STRONGER_AGGREGATE,-0.01800635685413659,0.11058945112447037,0.0,0.0
v4,GE_8.5,266,171,99,0.5318276608187135,0.078309,3.4717212727314357,2.0329512828282827,1.728395,3.62300573641157,3.081745321637427,2.466317,-2.5196309064327487,-2.32297,4.921099525252525,4.19451,-2.997948535353536,-3.006389,0.5497076023391813,0.7171717171717171,0.2564102564102564,0.3846153846153846,0.6451612903225806,0.4838709677419355,1.2230939514869306,USEFUL_BUT_NOISY,-0.05471574169512978,-0.10840514937657818,0.0,0.0
TS,ALL,5848,3954,2587,1.2027377900859888,0.7280655,4.427378421240338,2.6655806722071897,1.976898,5.143069803486359,4.245471462063733,3.0251535,-2.632854900354072,-2.251482,6.336219749903362,4.881706,-3.090665573250869,-2.625,0.5872534142640364,0.6872825666795516,0.3213429256594724,0.2713257965056526,0.5468085106382978,0.3191489361702128,1.612497316693295,STRONGER_AGGREGATE,-0.15103261363960324,-0.23117998978711124,-0.5409807512318537,-0.0908668053279905
TS,TOP_1PCT,67,42,26,-0.809993261904762,-1.37649,3.816736975689607,-1.0208717307692308,-3.525576,7.050178402119217,2.975427619047619,1.871981,-4.327110452380952,-3.3368525,4.42034,2.570213,-6.268321,-5.923404,0.4047619047619047,0.3846153846153846,0.1515151515151515,0.3636363636363636,0.1428571428571428,0.5238095238095238,0.6876246057944785,WEAK,-0.27498521584861013,-0.39765922700054435,-0.5409807512318537,-0.0908668053279905
TS,TOP_5PCT,302,218,155,-0.1920550321100916,-0.448056,4.369081481509486,0.4265942580645163,0.904554,5.187565932675361,3.2042395183486234,2.16294,-3.6118717660550455,-3.051426,4.613894012903225,3.402904,-5.0993723935483874,-4.364791,0.463302752293578,0.5225806451612903,0.2215189873417721,0.360759493670886,0.3217391304347826,0.5130434782608696,0.8871409966606745,USEFUL_BUT_NOISY,0.05166668780363916,-0.037949100396801556,-0.5409807512318537,-0.0908668053279905
TS,TOP_10PCT,593,428,301,0.1659878411214953,-0.0085105,4.026939443818518,0.7417096976744185,0.372051,4.802481798462692,3.433207544392523,2.563029,-3.24537963317757,-2.733661,4.981988235880399,4.144504,-4.341405654485049,-3.72577,0.4976635514018692,0.521594684385382,0.2420382165605095,0.3630573248407643,0.3839285714285714,0.5089285714285714,1.0578754822070071,USEFUL_BUT_NOISY,-0.07330679332675674,-0.07018815971552256,-0.5409807512318537,-0.0908668053279905
TS,TOP_20PCT,1178,833,580,0.3703158391356543,0.095575,4.087759309945831,1.1126311568965517,0.6928025,4.772752138335133,3.545442919567828,2.678859,-3.1570883085234094,-2.551888,5.053970053448276,4.145078,-3.977770396551725,-3.18782,0.524609843937575,0.55,0.249185667752443,0.3599348534201954,0.4268867924528302,0.4882075471698113,1.1230103731960714,STRONGER_AGGREGATE,-0.06613420516288845,-0.10121358853079557,-0.5409807512318537,-0.0908668053279905
TS,GE_7.0,2873,1982,1314,0.6459251826437942,0.279427,4.094506487144439,1.7564584939117198,1.073919,4.825294661963099,3.7543681942482334,2.72197,-2.929808786579213,-2.4676055,5.542687035768645,4.181472,-3.61555946042618,-3.119152,0.5464177598385469,0.5981735159817352,0.2838397790055249,0.3252762430939226,0.4852631578947368,0.3989473684210526,1.2814379598580428,STRONGER_AGGREGATE,-0.06269958107822539,-0.15582135420368687,-0.5409807512318537,-0.0908668053279905
TS,GE_7.5,1972,1377,932,0.4365585199709514,0.130265,4.050207784980611,1.3746813197424892,0.745484,4.754271319026832,3.590715419753086,2.695819,-3.066079572984749,-2.499088,5.223598020386266,4.138275,-3.8006636394849775,-3.120932,0.5366739288307916,0.5654506437768241,0.2695390781563126,0.343687374749499,0.4607250755287009,0.4410876132930513,1.1711096644036598,STRONGER_AGGREGATE,-0.03744095450315327,-0.09021038894178267,-0.5409807512318537,-0.0908668053279905
TS,GE_8.0,990,701,498,0.1127348644793153,-0.125686,4.033551846107713,0.9135521004016064,0.428319,4.705793545747436,3.3170109300998574,2.502983,-3.266057880171184,-2.733661,4.865019495983936,4.097273,-4.183955742971888,-3.483387,0.4878744650499286,0.5180722891566265,0.2318548387096774,0.3689516129032258,0.4090909090909091,0.5056818181818182,1.0156007798385995,STRONGER_AGGREGATE,-0.006869763831003004,-0.10743760721879707,-0.5409807512318537,-0.0908668053279905
TS,GE_8.5,276,199,143,0.158689432160804,-0.408326,4.195519796071662,0.0598115034965035,-0.274876,4.836965245573632,3.3423785376884423,2.226562,-3.464996844221106,-3.051426,4.413484538461538,3.144654,-4.670647531468531,-4.140625,0.4673366834170854,0.4825174825174825,0.2340425531914893,0.3829787234042553,0.2941176470588235,0.5196078431372549,0.964612289117329,USEFUL_BUT_NOISY,-0.06523580335542331,-0.07964844617702366,-0.5409807512318537,-0.0908668053279905
SQ,ALL,5848,3954,2587,1.2027377900859888,0.7280655,4.427378421240338,2.6655806722071897,1.976898,5.143069803486359,4.245471462063733,3.0251535,-2.632854900354072,-2.251482,6.336219749903362,4.881706,-3.090665573250869,-2.625,0.5872534142640364,0.6872825666795516,0.3213429256594724,0.2713257965056526,0.5468085106382978,0.3191489361702128,1.612497316693295,STRONGER_AGGREGATE,-0.03976285768913754,0.04476964456092258,-0.4329991507260503,0.1436683600214646
SQ,TOP_1PCT,67,25,19,0.7416841200000001,0.421196,3.434415856304246,1.5826264210526315,2.532239,3.830348828356097,3.5854168799999995,3.407013,-2.53810428,-2.730978,5.050141421052632,4.138275,-2.7321466315789475,-1.598487,0.6,0.631578947368421,0.375,0.1875,0.7,0.0,1.412635764516342,DESCRIPTIVE_ONLY,0.20511221945137137,0.3522727272727272,-0.4329991507260503,0.1436683600214646
SQ,TOP_5PCT,301,179,100,0.2939086424581006,0.117183,3.1991015168801225,1.4227668800000002,1.185396,3.977416285147758,3.0515701955307257,2.32215,-2.6265747653631286,-2.483901,4.61608129,4.065025,-2.99169569,-2.836591,0.5363128491620112,0.59,0.2846153846153846,0.3076923076923077,0.4492753623188406,0.2753623188405797,1.1618059519081845,USEFUL_BUT_NOISY,-0.11249506580049273,-0.11591020296535073,-0.4329991507260503,0.1436683600214646
SQ,TOP_10PCT,594,360,211,0.1439038111111111,0.348112,3.486305463791639,1.2636664834123226,1.525282,4.449810209228052,3.069008961111111,2.439299,-2.875441455555556,-2.566991,4.8016237772511845,4.138275,-3.5292225260663503,-2.915034,0.5416666666666666,0.6255924170616114,0.2479674796747967,0.2642276422764227,0.4253731343283582,0.2985074626865671,1.0673174914347738,USEFUL_BUT_NOISY,-0.010318092384719481,0.0411347420415743,-0.4329991507260503,0.1436683600214646
SQ,TOP_20PCT,1178,741,435,0.475319192982456,0.53581,3.49533161595341,1.6119857402298852,1.593418,4.162153813191374,3.3536664102564107,2.608696,-2.5633100188933877,-2.199626,5.184316066666667,4.315961,-3.21082568045977,-2.754742,0.5775978407557355,0.639080459770115,0.2707930367504835,0.2591876208897485,0.5017182130584192,0.3161512027491409,1.3083342964906874,STRONGER_AGGREGATE,-0.06678521662800935,-0.05169020484571554,-0.4329991507260503,0.1436683600214646
SQ,GE_7.0,2036,1295,758,0.7355900864864865,0.565645,3.520931427672818,2.1106092031662267,1.728395,4.389649797298772,3.5363622579150578,2.689181,-2.5670145444015446,-2.199626,5.641349361477572,4.7035945,-3.0902583905013192,-2.623551,0.5791505791505791,0.6873350923482849,0.267027027027027,0.2345945945945945,0.5233463035019456,0.2821011673151751,1.377616759370368,STRONGER_AGGREGATE,-0.0773530659800222,-0.09334827799146689,-0.4329991507260503,0.1436683600214646
SQ,GE_7.5,1317,818,454,0.4068941613691931,0.4453395,3.3714739726246097,1.5245623237885466,1.593418,3.998264642299048,3.1580569058679706,2.5615145,-2.577433506112469,-2.286959,4.939574980176211,4.19451,-3.2597694295154183,-2.758666,0.5611246943765281,0.6409691629955947,0.2204861111111111,0.2725694444444444,0.4597315436241611,0.3255033557046979,1.2252719220024626,STRONGER_AGGREGATE,-0.004076847826861363,-0.058573419522914484,-0.4329991507260503,0.1436683600214646
SQ,GE_8.0,598,347,183,0.1929821585014409,0.348112,3.290451981947504,1.033781699453552,0.805288,4.342995630680005,3.0030980317002887,2.374594,-2.808049561959654,-2.566991,4.6191598579234965,4.138275,-3.39709974863388,-2.870982,0.5504322766570605,0.5956284153005464,0.25,0.2542372881355932,0.4649122807017544,0.2719298245614035,1.0694604797518303,USEFUL_BUT_NOISY,-0.18332517101072196,-0.14532015145162083,-0.4329991507260503,0.1436683600214646
SQ,GE_8.5,222,121,66,-0.4745485289256198,-0.44103,2.9644847025817915,0.1429077272727272,-0.2553635,3.200508081229895,2.4322035702479337,1.885332,-2.9638914876033056,-2.861635,3.6877546666666663,2.497234,-3.390312,-3.097835,0.4380165289256198,0.4393939393939394,0.2077922077922078,0.3116883116883117,0.2564102564102564,0.2564102564102564,0.8206115441205605,USEFUL_BUT_NOISY,0.015675624125754392,0.1708957482688543,-0.4329991507260503,0.1436683600214646
