record_type,threshold_set_id,run_id,ticker,decision_date,input_signature,ema20_extension_pct,sma50_extension_pct,ema20_extension_atr,sma50_extension_atr,extension_percentile,rsi,roc10,roc21,stage,climax_risk,trigger_distance_atr,extension_state,extension_maturity_score,extension_evidence_count,extension_reasons,independent_dates,N,N_1d,mean_return_1d,median_return_1d,mean_MFE_1d,median_MFE_1d,mean_MAE_1d,median_MAE_1d,hit_rate_1d,N_3d,mean_return_3d,median_return_3d,mean_MFE_3d,median_MFE_3d,mean_MAE_3d,median_MAE_3d,hit_rate_3d,N_5d,mean_return_5d,median_return_5d,mean_MFE_5d,median_MFE_5d,mean_MAE_5d,median_MAE_5d,hit_rate_5d,N_10d,mean_return_10d,median_return_10d,mean_MFE_10d,median_MFE_10d,mean_MAE_10d,median_MAE_10d,hit_rate_10d,target_before_stop_rate_10d,mean_time_to_target,mean_time_to_MFE_5d,mean_time_to_MFE_10d,bootstrap_clusters_1d,mean_return_1d_ci_low,mean_return_1d_ci_high,bootstrap_clusters_3d,mean_return_3d_ci_low,mean_return_3d_ci_high,bootstrap_clusters_5d,mean_return_5d_ci_low,mean_return_5d_ci_high,bootstrap_clusters_10d,mean_return_10d_ci_low,mean_return_10d_ci_high,ts_threshold,extension_group
OBSERVATION,balanced_v1,72.0,A,2026-07-31,24b27108edd35ef3612966b42f4f3b15a01711102c4c6eecfb4e986f3058b246,1.970468244984236,5.186259574481045,0.6616343968127087,1.6881781930190651,65.4762,58.4097541420386,5.256351741974741,3.733413299347799,Stage 1,0.0,-0.6616,MODERATE,10.0,10.0,extension_percentile:1;roc10:1;trigger_extension_atr:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATION,balanced_v1,72.0,AAMI,2026-07-31,092b7b8286ef11885e0e1272b08e111a6d73be3f9366da3d77d6aa9a45995ec3,6.563531187174321,11.97942965454557,1.5144478717367036,2.6304089269444395,65.873,64.35333108849485,4.46913878487738,20.15837732703527,Stage 2,1.0,-1.5144,EXTENDED,36.6667,10.0,climax_risk:1;ema20_extension_atr:1;ema20_extension_pct:1;extension_percentile:1;roc21:2;rsi:1;sma50_extension_atr:1;sma50_extension_pct:1;trigger_extension_atr:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATION,balanced_v1,72.0,ABG,2026-07-31,ecd122482e538dc8c0fb349546d7169b187d24dd08d3ecbdbcde6db87bc0e733,4.196434012342221,12.769366447390173,1.0016507242365311,2.8162225835594805,98.0159,59.32651768308303,5.146124523506979,17.008382991616998,Stage 1,1.0,-1.0016,MODERATE,36.6667,10.0,climax_risk:1;ema20_extension_atr:1;ema20_extension_pct:1;extension_percentile:3;roc10:1;roc21:1;sma50_extension_atr:1;sma50_extension_pct:1;trigger_extension_atr:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATION,balanced_v1,72.0,ABM,2026-07-31,633588a99445dbc88479af5712a5111b58664b836379c8e64cb2c16cfb3c876f,2.133351385857796,8.630587979212567,0.8386241866917582,3.189780701845266,91.6667,60.68552312809514,0.6935687263555979,8.271186440677969,Unknown,1.0,-0.8386,MODERATE,26.6667,10.0,climax_risk:1;extension_percentile:2;roc21:1;rsi:1;sma50_extension_atr:1;sma50_extension_pct:1;trigger_extension_atr:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATION,balanced_v1,72.0,ABNB,2026-07-31,410dc910584efc88d50406f2fbeeb265ccb490f140d43064500e6649ece2375e,3.3520867165055312,7.314558007371508,1.1295176382884455,2.373703493227469,87.3016,59.72377819835523,3.795040416495432,2.857918674903281,Stage 2,0.0,-1.1295,MODERATE,16.6667,10.0,ema20_extension_atr:1;extension_percentile:2;sma50_extension_atr:1;trigger_extension_atr:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATION,balanced_v1,72.0,ACAD,2026-07-31,e76cc9f4f5e1b36ff41e2ef633c8c9ff196f3cbcc8ff59c7a12fc6dccc1ebba7,1.912996765524455,9.457241017482708,0.590379217865902,2.717480009169478,78.5714,58.229042991628766,1.0546874999999956,2.6587301587301715,Stage 1,0.0,-0.5904,MODERATE,13.3333,10.0,extension_percentile:1;sma50_extension_atr:1;sma50_extension_pct:1;trigger_extension_atr:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATION,balanced_v1,72.0,ACIW,2026-07-31,e881f568bf0ca59b9c86685e41bd891951b6ee0dcc284270bc11de73cb94c454,2.5047949075861498,15.232474935479456,0.7288559347949882,3.9428412030381534,92.4603,59.12488270230575,-1.2743240916135767,9.137635636778985,Unknown,2.25,1.951,EXTENDED,26.6667,10.0,climax_risk:1;extension_percentile:2;roc21:1;sma50_extension_atr:2;sma50_extension_pct:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATION,balanced_v1,72.0,ACT,2026-07-31,4ee38f13e31715c0b6ba02ca5a30b845c2360aec8a71c1eaf31f788bd3b001f9,2.250814100566068,7.080142652835852,1.0327208555018488,3.102009773530504,90.873,61.6807999611444,1.7196904557179593,4.252037893809213,Stage 2,2.0,,MODERATE,22.2222,9.0,climax_risk:1;ema20_extension_atr:1;extension_percentile:2;rsi:1;sma50_extension_atr:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATION,balanced_v1,72.0,ADP,2026-07-31,84dd0bf21a09eae97f15fc46768ef2cea8da3078ba4b3a02151a7a8f980adaf0,5.99574407446295,13.418218934704718,1.7151241739352037,3.5871782669673338,98.8095,65.04293421770821,4.383593841814548,13.036100623594791,Unknown,1.0,-1.7151,EXTENDED,40.0,10.0,climax_risk:1;ema20_extension_atr:1;ema20_extension_pct:1;extension_percentile:3;roc21:1;rsi:1;sma50_extension_atr:1;sma50_extension_pct:1;trigger_extension_atr:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBSERVATION,balanced_v1,72.0,ADUS,2026-07-31,2fb4d79e5a94ccdaa3287f40c460044742a8d5a86354d0777e4d1686dc9bb6d0,3.4141807334866714,13.851019611400094,1.1558012350930864,4.2591365356209465,96.0317,64.50711351190778,0.8382815228781038,12.938875305623476,Stage 1,3.25,-1.1558,EXTENDED,36.6667,10.0,climax_risk:1;ema20_extension_atr:1;extension_percentile:3;roc21:1;rsi:1;sma50_extension_atr:2;sma50_extension_pct:1;trigger_extension_atr:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
